F61,F77,F88,F70,
85,8455,3217,9489,
10,742,528,1776,
156,12219,3817,13253,
156,12219,3817,13253,
156,12219,3817,13253,
95,9487,3269,10521,
85,8455,3217,9489,
0,730,520,1764,
17,7607,3136,8641,
2,738,527,1772,
23,6298,2746,7332,
23,6298,2746,7332,
23,6298,2746,7332,
23,6298,2746,7332,
341,12460,4005,13494,
101,12460,4005,13494,
147,12460,4005,13494,
30,6916,2887,7950,
44,9134,3253,10168,
82,6293,2745,7327,
95,7093,2918,8127,
341,12460,4005,13494,
49,10145,3307,11179,
49,10145,3307,11179,
3,707,509,1741,
22,8766,3235,9800,
22,8766,3235,9800,
22,3603,2028,4637,
50,7580,3097,8614,
49,7555,3090,8589,
50,7580,3097,8614,
46,7235,2952,8269,
7,888,701,1922,
31,4226,2153,5260,
16,1162,835,2196,
16,1162,835,2196,
16,1162,835,2196,
126,7638,3167,8672,
34,1698,1228,2732,
65,4211,2150,5245,
127,7948,3188,8982,
165,12427,3981,13461,
165,12427,3981,13461,
165,12427,3981,13461,
10,3682,2048,4716,
44,10800,3459,11834,
7,2630,1563,3664,
7,2630,1563,3664,
16,1804,1272,2838,
152,12263,3826,13297,
8,4854,2324,5888,
8,4854,2324,5888,
8,4854,2324,5888,
8,4854,2324,5888,
8,4854,2324,5888,
8,4854,2324,5888,
29,12259,3825,13293,
8,7076,2916,8110,
24,10113,3303,11147,
29,12358,3901,13392,
84,7592,3116,8626,
128,10762,3449,11796,
157,12311,3840,13345,
151,12080,3784,13114,
95,7968,3189,9002,
64,4091,2129,5125,
328,12376,3939,13410,
327,12374,3939,13408,
341,12460,4005,13494,
182,8557,3225,9591,
182,8557,3225,9591,
6,716,518,1750,
120,6567,2818,7601,
17,1408,925,2442,
341,12460,4005,13494,
341,12460,4005,13494,
341,12460,4005,13494,
17,1408,925,2442,
341,12460,4005,13494,
0,2245,1487,3279,
11,1022,780,2056,
5,578,463,1612,
5,578,463,1612,
5,578,463,1612,
5,578,463,1612,
5,578,463,1612,
14,5301,2508,6335,
7,4105,2131,5139,
0,716,518,1750,
34,11831,3697,12865,
14,5301,2508,6335,
34,11831,3697,12865,
0,196,199,1230,
1,197,199,1231,
28,1849,1296,2883,
67,7517,3080,8551,
57,6242,2737,7276,
9,607,483,1641,
8,591,470,1625,
24,5574,2613,6608,
24,5574,2613,6608,
34,6258,2737,7292,
57,7592,3116,8626,
2,2703,1572,3737,
24,7948,3188,8982,
9,6664,2835,7698,
45,5922,2695,6956,
2,2558,1554,3592,
2,2558,1554,3592,
2,2558,1554,3592,
22,7790,3181,8824,
5,5007,2395,6041,
5,5007,2395,6041,
5,5007,2395,6041,
5,5007,2395,6041,
15,8662,3228,9696,
7,5764,2660,6798,
15,5727,2656,6761,
15,5727,2656,6761,
17,5770,2661,6804,
15,5727,2656,6761,
17,5770,2661,6804,
3,2941,1670,3975,
13,6566,2818,7600,
8,6715,2849,7749,
18,8650,3228,9684,
14,4079,2128,5113,
16,4083,2129,5117,
12,6569,2818,7603,
13,7380,3014,8414,
8,6517,2810,7551,
10,6589,2823,7623,
3,649,492,1683,
3,649,492,1683,
9,6672,2836,7706,
3,2941,1670,3975,
15,6566,2818,7600,
15,6566,2818,7600,
62,6089,2717,7123,
40,8487,3222,9521,
3,1786,1263,2820,
3,2818,1618,3852,
4,3397,1912,4431,
19,8721,3231,9755,
16,8721,3231,9755,
16,8721,3231,9755,
16,8721,3231,9755,
3,1871,1319,2905,
1,1482,1043,2516,
50,6292,2744,7326,
50,6292,2744,7326,
11,1970,1344,3004,
16,9245,3256,10279,
6,1622,1194,2656,
4,1664,1211,2698,
39,7900,3186,8934,
39,7900,3186,8934,
45,9075,3250,10109,
45,9075,3250,10109,
33,7607,3136,8641,
14,8080,3194,9114,
13,3891,2109,4925,
163,12460,4005,13494,
54,5954,2697,6988,
99,7968,3189,9002,
163,12460,4005,13494,
163,12460,4005,13494,
128,10130,3305,11164,
95,7859,3185,8893,
163,12460,4005,13494,
78,12248,3824,13282,
6,2266,1491,3300,
12,11999,3754,13033,
3,3426,1920,4460,
35,11999,3754,13033,
35,11999,3754,13033,
35,11999,3754,13033,
35,11999,3754,13033,
35,11999,3754,13033,
35,11999,3754,13033,
4,4028,2123,5062,
127,12413,3977,13447,
127,12413,3977,13447,
117,12017,3759,13051,
14,4335,2166,5369,
24,6085,2717,7119,
18,10302,3329,11336,
18,10302,3329,11336,
5,3829,2087,4863,
17,7898,3186,8932,
0,774,539,1808,
12,11140,3531,12174,
13,11153,3535,12187,
12,6134,2719,7168,
19,4826,2305,5860,
19,4826,2305,5860,
94,10337,3332,11371,
94,10337,3332,11371,
94,10337,3332,11371,
29,6314,2747,7348,
20,10303,3329,11337,
11,6241,2736,7275,
0,12463,4005,13497,
65,8103,3195,9137,
11,1934,1332,2968,
11,1934,1332,2968,
27,7011,2900,8045,
49,6661,2835,7695,
14,6459,2793,7493,
20,8103,3195,9137,
20,8103,3195,9137,
16,9520,3273,10554,
25,3377,1899,4411,
11,1219,854,2253,
26,3404,1912,4438,
11,3732,2055,4766,
11,3732,2055,4766,
2,2383,1517,3417,
11,3732,2055,4766,
11,3732,2055,4766,
1,1537,1150,2571,
31,11354,3585,12388,
31,11354,3585,12388,
15,11999,3754,13033,
15,11999,3754,13033,
15,11999,3754,13033,
12,6462,2796,7496,
18,5039,2408,6073,
40,6257,2737,7291,
14,1414,927,2448,
21,11999,3754,13033,
26,12460,4005,13494,
2,2397,1520,3431,
17,11999,3754,13033,
4,3661,2047,4695,
50,12453,3995,13487,
41,12290,3833,13324,
111,12218,3817,13252,
26,6058,2713,7092,
26,6058,2713,7092,
26,6058,2713,7092,
26,6058,2713,7092,
65,6631,2830,7665,
65,6631,2830,7665,
0,32,35,1066,
74,7607,3136,8641,
131,12218,3817,13252,
131,12218,3817,13252,
131,12218,3817,13252,
131,12218,3817,13252,
4,220,218,1254,
116,11190,3550,12224,
58,6070,2716,7104,
80,7850,3184,8884,
131,12218,3817,13252,
124,11972,3746,13006,
124,11972,3746,13006,
124,11972,3746,13006,
7,774,539,1808,
124,11972,3746,13006,
63,10113,3303,11147,
81,12218,3817,13252,
33,7971,3189,9005,
37,8031,3192,9065,
37,8031,3192,9065,
16,8031,3192,9065,
16,8031,3192,9065,
16,8031,3192,9065,
17,8622,3227,9656,
17,8622,3227,9656,
17,8622,3227,9656,
17,8622,3227,9656,
17,8622,3227,9656,
10,4993,2389,6027,
12,5084,2437,6118,
111,11788,3688,12822,
14,11961,3740,12995,
15,11999,3754,13033,
14,11961,3740,12995,
15,11999,3754,13033,
107,12409,3976,13443,
18,4083,2129,5117,
31,10684,3438,11718,
31,10684,3438,11718,
18,11999,3754,13033,
65,12142,3802,13176,
105,12460,4005,13494,
5,587,465,1621,
5,587,465,1621,
95,10235,3321,11269,
105,12460,4005,13494,
105,12460,4005,13494,
17,11999,3754,13033,
19,11999,3754,13033,
7,5088,2438,6122,
19,7044,2907,8078,
5,4594,2215,5628,
12,9449,3266,10483,
12,9449,3266,10483,
12,9449,3266,10483,
66,10113,3303,11147,
70,10215,3318,11249,
70,10215,3318,11249,
6,3219,1830,4253,
25,7691,3172,8725,
25,7691,3172,8725,
25,7691,3172,8725,
25,7691,3172,8725,
25,7691,3172,8725,
10,751,533,1785,
61,6689,2842,7723,
61,6689,2842,7723,
156,12460,4005,13494,
81,7607,3136,8641,
22,6729,2852,7763,
40,11770,3685,12804,
20,6626,2830,7660,
182,12460,4005,13494,
1,127,136,1161,
32,10687,3438,11721,
30,8989,3246,10023,
29,8988,3246,10022,
32,10687,3438,11721,
22,6030,2711,7064,
22,6030,2711,7064,
