F41,F40,F43,F42,F45,F44,F140,F47,F141,F46,F142,F49,F143,F48,F126,F127,F128,F129,F50,F52,F51,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F138,F139,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,2441,1682,164,4287,31,2.974884928209737E-4,8,0,759,0,0.2211656858311551,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,2441,1682,164,4287,31,2.974884928209737E-4,8,0,759,0,0.2211656858311551,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,2441,1682,164,4287,31,2.974884928209737E-4,8,0,759,0,0.2211656858311551,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,2441,1682,164,4287,31,2.974884928209737E-4,8,0,759,0,0.2211656858311551,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,2441,1682,164,4287,31,2.974884928209737E-4,8,0,759,0,0.2211656858311551,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,2441,1682,164,4287,31,2.974884928209737E-4,8,0,759,0,0.2211656858311551,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,2441,1682,164,4287,31,2.974884928209737E-4,8,0,759,0,0.2211656858311551,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,303,64,1,368,31,2.974884928209737E-4,8,0,239,0,0.15149441927822,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,303,64,1,368,31,2.974884928209737E-4,8,0,239,0,0.15149441927822,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,303,64,1,368,31,2.974884928209737E-4,8,0,239,0,0.15149441927822,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,193,115,22,330,31,2.974884928209737E-4,8,0,78,0,0.2710601536569915,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,193,115,22,330,31,2.974884928209737E-4,8,0,78,0,0.2710601536569915,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,193,115,22,330,31,2.974884928209737E-4,8,0,78,0,0.2710601536569915,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,193,115,22,330,31,2.974884928209737E-4,8,0,78,0,0.2710601536569915,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,134,0,0,134,31,2.974884928209737E-4,8,0,134,0,0.3341645885286783,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,134,0,0,134,31,2.974884928209737E-4,8,0,134,0,0.3341645885286783,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,9296,6195,731,16222,31,2.974884928209737E-4,8,0,3101,0,0.22401079189512046,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,879,1206,47,2132,31,2.974884928209737E-4,8,0,-327,0,0.1547843277893219,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,800,522,32,1354,31,2.974884928209737E-4,8,0,278,0,0.14840780379419635,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,196,539,38,773,31,2.974884928209737E-4,8,0,-343,0,0.1495014715773332,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,196,539,38,773,31,2.974884928209737E-4,8,0,-343,0,0.1495014715773332,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,1636,1404,103,3143,31,2.974884928209737E-4,8,0,232,0,0.2671714852608416,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,1636,1404,103,3143,31,2.974884928209737E-4,8,0,232,0,0.2671714852608416,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,1636,1404,103,3143,31,2.974884928209737E-4,8,0,232,0,0.2671714852608416,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,631,384,60,1075,31,2.974884928209737E-4,8,0,247,0,0.19543533533657456,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,631,384,60,1075,31,2.974884928209737E-4,8,0,247,0,0.19543533533657456,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,15,15,0,30,31,2.974884928209737E-4,8,0,0,0,0.2588628762541806,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,359,237,5,601,31,2.974884928209737E-4,8,0,122,0,0.19114329411832773,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,359,237,5,601,31,2.974884928209737E-4,8,0,122,0,0.19114329411832773,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,571,127,23,721,31,2.974884928209737E-4,8,0,444,0,0.1778387531065802,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,571,127,23,721,31,2.974884928209737E-4,8,0,444,0,0.1778387531065802,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
0,0.0,0,0,0,0,18919,18,475114,0.0,95719,3,0.07639987025492662,10,571,127,23,721,31,2.974884928209737E-4,8,0,444,0,0.1778387531065802,0,40416,0,29876,2601,0,72893,10540,0.14991263526013932,275957,180238,
