F72,F54,F53,F55,F25,F26,
10851,org/apache/tools/ant,ant,org/apache/tools/ant/AntClassLoader.java,4749,true,
10851,org/apache/tools/ant,ant,org/apache/tools/ant/AntClassLoader.java,4749,true,
10851,org/apache/tools/ant,ant,org/apache/tools/ant/AntClassLoader.java,4749,true,
10851,org/apache/tools/ant,ant,org/apache/tools/ant/AntClassLoader.java,4749,true,
10851,org/apache/tools/ant,ant,org/apache/tools/ant/AntClassLoader.java,4749,true,
10851,org/apache/tools/ant,ant,org/apache/tools/ant/AntClassLoader.java,4749,true,
10851,org/apache/tools/ant,ant,org/apache/tools/ant/AntClassLoader.java,4749,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/AntClassLoaderTest.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/AntTypeDefinition.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/AntTypeDefinition.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/AntTypeDefinition.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/AntTypeDefinition.java,3978,true,
718,org/apache/tools/ant,ant,org/apache/tools/ant/ArgumentProcessorRegistry.java,860,true,
718,org/apache/tools/ant,ant,org/apache/tools/ant/ArgumentProcessorRegistry.java,860,true,
8618,org/apache/tools/ant,ant,org/apache/tools/ant/Project.java,4572,true,
13494,org/apache/tools/ant,ant,org/apache/tools/ant/Target.java,5466,true,
13494,org/apache/tools/ant,ant,org/apache/tools/ant/Task.java,5466,true,
492,org/apache/tools/ant,ant,org/apache/tools/ant/BuildFileRule.java,261,true,
492,org/apache/tools/ant,ant,org/apache/tools/ant/BuildFileRule.java,261,true,
492,org/apache/tools/ant,ant,org/apache/tools/ant/BuildFileRule.java,261,true,
492,org/apache/tools/ant,ant,org/apache/tools/ant/BuildFileRule.java,261,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/BuildFileTest.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/BuildFileTest.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/BuildFileTest.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/BuildFileTest.java,3978,true,
8127,org/apache/tools/ant,ant,org/apache/tools/ant/ComponentHelper.java,4379,true,
8127,org/apache/tools/ant,ant,org/apache/tools/ant/ComponentHelper.java,4379,true,
8127,org/apache/tools/ant,ant,org/apache/tools/ant/ComponentHelper.java,4379,true,
645,org/apache/tools/ant,ant,org/apache/tools/ant/DefaultDefinitions.java,607,true,
11125,org/apache/tools/ant,ant,org/apache/tools/ant/DefaultLogger.java,4763,true,
11125,org/apache/tools/ant,ant,org/apache/tools/ant/DefaultLogger.java,4763,true,
1741,org/apache/tools/ant,ant,org/apache/tools/ant/DefaultLoggerTest.java,1970,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/DemuxOutputStream.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/DemuxOutputStream.java,3978,true,
8614,org/apache/tools/ant,ant,org/apache/tools/ant/Diagnostics.java,4558,true,
8614,org/apache/tools/ant,ant,org/apache/tools/ant/Diagnostics.java,4558,true,
8614,org/apache/tools/ant,ant,org/apache/tools/ant/Diagnostics.java,4558,true,
8614,org/apache/tools/ant,ant,org/apache/tools/ant/Diagnostics.java,4558,true,
8614,org/apache/tools/ant,ant,org/apache/tools/ant/Diagnostics.java,4558,true,
8614,org/apache/tools/ant,ant,org/apache/tools/ant/Diagnostics.java,4558,true,
11142,org/apache/tools/ant,ant,org/apache/tools/ant/DirectoryScanner.java,4764,true,
11142,org/apache/tools/ant,ant,org/apache/tools/ant/DirectoryScanner.java,4764,true,
11142,org/apache/tools/ant,ant,org/apache/tools/ant/DirectoryScanner.java,4764,true,
11142,org/apache/tools/ant,ant,org/apache/tools/ant/DirectoryScanner.java,4764,true,
11142,org/apache/tools/ant,ant,org/apache/tools/ant/DirectoryScanner.java,4764,true,
11142,org/apache/tools/ant,ant,org/apache/tools/ant/DirectoryScanner.java,4764,true,
11142,org/apache/tools/ant,ant,org/apache/tools/ant/DirectoryScanner.java,4764,true,
11142,org/apache/tools/ant,ant,org/apache/tools/ant/DirectoryScanner.java,4764,true,
11142,org/apache/tools/ant,ant,org/apache/tools/ant/DirectoryScanner.java,4764,true,
11142,org/apache/tools/ant,ant,org/apache/tools/ant/DirectoryScanner.java,4764,true,
11834,org/apache/tools/ant,ant,org/apache/tools/ant/DirectoryScannerTest.java,4920,true,
11834,org/apache/tools/ant,ant,org/apache/tools/ant/DirectoryScannerTest.java,4920,true,
11834,org/apache/tools/ant,ant,org/apache/tools/ant/DirectoryScannerTest.java,4920,true,
492,org/apache/tools/ant,ant,org/apache/tools/ant/FileUtilities.java,261,true,
6392,org/apache/tools/ant,ant,org/apache/tools/ant/IntrospectionHelper.java,3984,true,
6392,org/apache/tools/ant,ant,org/apache/tools/ant/IntrospectionHelper.java,3984,true,
6392,org/apache/tools/ant,ant,org/apache/tools/ant/IntrospectionHelper.java,3984,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/IntrospectionHelperTest.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/IntrospectionHelperTest.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/IntrospectionHelperTest.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/IntrospectionHelperTest.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/IntrospectionHelperTest.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/IntrospectionHelperTest.java,3978,true,
6363,org/apache/tools/ant,ant,org/apache/tools/ant/IntrospectionHelperTest.java,3978,true,
13392,org/apache/tools/ant,ant,org/apache/tools/ant/Location.java,5362,true,
13494,org/apache/tools/ant,ant,org/apache/tools/ant/Main.java,5466,true,
13494,org/apache/tools/ant,ant,org/apache/tools/ant/Main.java,5466,true,
13494,org/apache/tools/ant,ant,org/apache/tools/ant/Main.java,5466,true,
13494,org/apache/tools/ant,ant,org/apache/tools/ant/Main.java,5466,true,
8618,org/apache/tools/ant,ant,org/apache/tools/ant/Project.java,4572,true,
8618,org/apache/tools/ant,ant,org/apache/tools/ant/Project.java,4572,true,
8618,org/apache/tools/ant,ant,org/apache/tools/ant/Project.java,4572,true,
8618,org/apache/tools/ant,ant,org/apache/tools/ant/Project.java,4572,true,
8618,org/apache/tools/ant,ant,org/apache/tools/ant/Project.java,4572,true,
8618,org/apache/tools/ant,ant,org/apache/tools/ant/Project.java,4572,true,
8618,org/apache/tools/ant,ant,org/apache/tools/ant/Project.java,4572,true,
