F72,F54,F53,F55,F25,F26,
10814,org/apache/cassandra,apache,org/apache/cassandra/AbstractSerializationsTester.java,1345,true,
10814,org/apache/cassandra,apache,org/apache/cassandra/AbstractSerializationsTester.java,1345,true,
10896,org/apache/cassandra,apache,org/apache/cassandra/EmbeddedServer.java,1354,true,
10896,org/apache/cassandra,apache,org/apache/cassandra/EmbeddedServer.java,1354,true,
6533,org/apache/cassandra,apache,org/apache/cassandra/MethodComparator.java,573,true,
6533,org/apache/cassandra,apache,org/apache/cassandra/MethodComparator.java,573,true,
6533,org/apache/cassandra,apache,org/apache/cassandra/MethodComparator.java,573,true,
4011,org/apache/cassandra,apache,org/apache/cassandra/OffsetAwareConfigurationLoader.java,97,true,
4653,org/apache/cassandra,apache,org/apache/cassandra/SchemaLoader.java,209,true,
5999,org/apache/cassandra,apache,org/apache/cassandra/Util.java,469,true,
12664,org/apache/cassandra/auth,apache,org/apache/cassandra/auth/AllowAllAuthenticator.java,1716,true,
12664,org/apache/cassandra/auth,apache,org/apache/cassandra/auth/AllowAllAuthenticator.java,1716,true,
6843,org/apache/cassandra/auth,apache,org/apache/cassandra/auth/Auth.java,661,true,
6843,org/apache/cassandra/auth,apache,org/apache/cassandra/auth/Auth.java,661,true,
6843,org/apache/cassandra/auth,apache,org/apache/cassandra/auth/Auth.java,661,true,
6607,org/apache/cassandra/auth,apache,org/apache/cassandra/auth/PasswordAuthenticator.java,593,true,
3483,org/apache/cassandra/batchlog,apache,org/apache/cassandra/batchlog/BatchlogManager.java,0,true,
4898,org/apache/cassandra/cache,apache,org/apache/cassandra/cache/AutoSavingCache.java,246,true,
4898,org/apache/cassandra/cache,apache,org/apache/cassandra/cache/AutoSavingCache.java,246,true,
4033,org/apache/cassandra/cache,apache,org/apache/cassandra/cache/CacheProviderTest.java,102,true,
4626,org/apache/cassandra/cache,apache,org/apache/cassandra/cache/CachingOptions.java,202,true,
4626,org/apache/cassandra/cache,apache,org/apache/cassandra/cache/CachingOptions.java,202,true,
4626,org/apache/cassandra/cache,apache,org/apache/cassandra/cache/CachingOptions.java,202,true,
4626,org/apache/cassandra/cache,apache,org/apache/cassandra/cache/CachingOptions.java,202,true,
4559,org/apache/cassandra/io/util,apache,org/apache/cassandra/io/util/Memory.java,195,true,
6110,org/apache/cassandra/cache,apache,org/apache/cassandra/cache/SerializingCacheProvider.java,496,true,
6110,org/apache/cassandra/cache,apache,org/apache/cassandra/cache/SerializingCacheProvider.java,496,true,
11801,org/apache/cassandra/client,apache,org/apache/cassandra/client/RingCache.java,1510,true,
8459,org/apache/cassandra/client,apache,org/apache/cassandra/client/TestRingCache.java,995,true,
8459,org/apache/cassandra/client,apache,org/apache/cassandra/client/TestRingCache.java,995,true,
8459,org/apache/cassandra/client,apache,org/apache/cassandra/client/TestRingCache.java,995,true,
4142,org/apache/cassandra/concurrent,apache,org/apache/cassandra/concurrent/AbstractTracingAwareExecutorService.java,124,true,
7412,org/apache/cassandra/concurrent,apache,org/apache/cassandra/concurrent/DebuggableThreadPoolExecutor.java,763,true,
12688,org/apache/cassandra/concurrent,apache,org/apache/cassandra/concurrent/DebuggableThreadPoolExecutorTest.java,1721,true,
4142,org/apache/cassandra/concurrent,apache,org/apache/cassandra/concurrent/JMXEnabledSharedExecutorPool.java,124,true,
4552,org/apache/cassandra/concurrent,apache,org/apache/cassandra/concurrent/LongOpOrderTest.java,193,true,
4142,org/apache/cassandra/concurrent,apache,org/apache/cassandra/concurrent/LongSharedExecutorPoolTest.java,124,true,
