F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,
16,2,MALICIOUS_CODE,0.005415860735009671,MS_MUTABLE_COLLECTION_PKGPROTECT,18,2,0,8.21186614658181E-4,1.0264832683227263E-4,0.0,
16,2,BAD_PRACTICE,0.011218568665377175,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,8.21186614658181E-4,1.0264832683227263E-4,5.1324163416136314E-5,
16,2,MALICIOUS_CODE,0.003481624758220503,MS_PKGPROTECT,18,2,0,8.21186614658181E-4,1.0264832683227263E-4,0.0,
16,2,STYLE,0.07040618955512573,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,20,3,1,8.21186614658181E-4,1.0264832683227263E-4,5.1324163416136314E-5,
16,3,I18N,0.039458413926499035,DM_DEFAULT_ENCODING,19,1,1,8.21186614658181E-4,1.5397249024840895E-4,5.1324163416136314E-5,
16,3,BAD_PRACTICE,0.01818181818181818,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,19,2,0,8.21186614658181E-4,1.5397249024840895E-4,0.0,
16,3,BAD_PRACTICE,0.0046421663442940036,EQ_COMPARETO_USE_OBJECT_EQUALS,16,2,1,8.21186614658181E-4,1.5397249024840895E-4,5.1324163416136314E-5,
16,1,PERFORMANCE,0.0027079303675048355,DM_BOXED_PRIMITIVE_FOR_PARSING,16,1,1,8.21186614658181E-4,5.1324163416136314E-5,5.1324163416136314E-5,
16,1,STYLE,0.006963249516441006,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,13,2,1,8.21186614658181E-4,5.1324163416136314E-5,5.1324163416136314E-5,
16,1,STYLE,0.0402321083172147,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,18,2,1,8.21186614658181E-4,5.1324163416136314E-5,5.1324163416136314E-5,
12,2,BAD_PRACTICE,0.007736943907156673,NM_CONFUSING,19,3,0,6.158899609936358E-4,1.0264832683227263E-4,2.5662081708068157E-5,
12,2,STYLE,0.0027079303675048355,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,1,6.158899609936358E-4,1.0264832683227263E-4,5.1324163416136314E-5,
12,3,STYLE,0.02127659574468085,REC_CATCH_EXCEPTION,20,3,1,6.158899609936358E-4,1.5397249024840895E-4,5.1324163416136314E-5,
12,3,STYLE,0.07040618955512573,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,1,6.158899609936358E-4,1.5397249024840895E-4,5.1324163416136314E-5,
12,3,STYLE,0.07040618955512573,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,17,2,1,6.158899609936358E-4,1.5397249024840895E-4,5.1324163416136314E-5,
12,1,BAD_PRACTICE,0.007736943907156673,NM_CONFUSING,19,3,0,6.158899609936358E-4,5.1324163416136314E-5,2.5662081708068157E-5,
12,1,STYLE,0.0027079303675048355,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,1,6.158899609936358E-4,5.1324163416136314E-5,5.1324163416136314E-5,
2,2,BAD_PRACTICE,0.007736943907156673,NM_CONFUSING,19,3,0,1.0264832683227263E-4,1.0264832683227263E-4,2.5662081708068157E-5,
13,1,BAD_PRACTICE,0.011218568665377175,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,6.672141244097722E-4,5.1324163416136314E-5,5.1324163416136314E-5,
13,1,PERFORMANCE,0.017794970986460348,SIC_INNER_SHOULD_BE_STATIC,18,2,0,6.672141244097722E-4,5.1324163416136314E-5,0.0,
13,4,I18N,0.031334622823984526,DM_CONVERT_CASE,20,3,2,6.672141244097722E-4,2.0529665366454526E-4,1.0264832683227263E-4,
13,4,I18N,0.031334622823984526,DM_CONVERT_CASE,20,3,1,6.672141244097722E-4,2.0529665366454526E-4,5.1324163416136314E-5,
13,4,I18N,0.031334622823984526,DM_CONVERT_CASE,20,3,1,6.672141244097722E-4,2.0529665366454526E-4,5.1324163416136314E-5,
13,4,I18N,0.031334622823984526,DM_CONVERT_CASE,20,3,2,6.672141244097722E-4,2.0529665366454526E-4,1.0264832683227263E-4,
112,1,STYLE,0.0019342359767891683,EQ_DOESNT_OVERRIDE_EQUALS,17,2,3,0.005748306302607267,5.1324163416136314E-5,1.5397249024840895E-4,
13,2,STYLE,0.027852998065764023,BC_UNCONFIRMED_CAST,20,3,1,6.672141244097722E-4,1.0264832683227263E-4,5.1324163416136314E-5,
13,2,STYLE,0.027852998065764023,BC_UNCONFIRMED_CAST,20,3,1,6.672141244097722E-4,1.0264832683227263E-4,5.1324163416136314E-5,
157,22,PERFORMANCE,0.0027079303675048355,DM_BOXED_PRIMITIVE_FOR_PARSING,16,1,2,0.008057893656333403,0.0011291315951549989,1.0264832683227263E-4,
