F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-ByteBuffer,F16-long[],F16-long,F16-Boolean,F16-ByteBuffer[][],F16-Token,F16-AbstractType,F16-Object,F16-NA,F16-void,F16-int,F16-boolean,F16-Double,F16-String,F16-Integer,F16-Pair,F16-Long,F16-MessageOut,F16-CommitLogSegment,F16-byte[][],F3-NA,F3-Class,F3-EncryptionOptions,F3-PrintStream,F3-SSTableReader,F3-byte[],F3-DecoratedKey,F3-boolean,F3-arg0.name().toByteBuffer(),F3-char,F3-String,F3-long,F3-InetAddress,F3-int,F3-ByteBuffer,F3-String[],F3-Thread,F3-BitSet,F3-ListenableFutureTask,F3-input,F7-^,F7-++,F7---,F7-%,F7-&,F7-*,F7-+,F7-^=,F7--,F7-/,F7--=,F7-+=,F7-NA,F7-*=,F12-long,F12-int,F12-FixedValueComparator,F12-List<ByteBuffer>,F12-NA,F12-Map<Pair MapType>,F12-TField,F12-Logger,F12-Map<AbstractType SetType>,F12-String,F12-OptionSimple,F12-double,F12-Pattern,F12-DistributionFactory,F12-List<AbstractType>,F12-TStruct,F12-List<ColumnInfo>,F12-UUID,F12-InetAddress,F12-Map<Class<? extends IScheme> SchemeFactory>,F17-abstract,F17-static,F17-final,F17-NA,F2-Class,F2-StringBuilder,F2-NA,F2-Random,F2-TreeSet<CellName>,F2-ArrayList<ReadCommand>,F2-Integer,F2-SSLFactory,F2-Math,F2-List<ByteBuffer>,F2-CqlLexer,F2-PrintStream,F2-String,F2-ByteBuffer,F2-Long,F2-System,F2-Cql_Lexer,F2-Boolean,F2-ThreadPoolExecutor,F2-File,F6-java.util.Random,F6-org.apache.cassandra.io.util.DataOutputStreamAndChannel,F6-NA,F6-org.apache.cassandra.db.BufferCell,F6-java.io.FileOutputStream,F6-org.apache.cassandra.cli.MismatchedSetException,F6-java.util.HashMap<java.lang.Class<? extends org.apache.cassandra.thrift.IScheme> org.apache.cassandra.thrift.SchemeFactory>,F6-java.io.PrintStream,F6-org.apache.cassandra.cli.RewriteRuleSubtreeStream,F6-java.io.DataInputStream,F6-org.apache.thrift.protocol.TStruct,F6-java.io.FileReader,F6-java.io.File,F6-java.lang.String,F6-java.lang.StringBuilder,F6-org.apache.cassandra.hadoop.pig.ResourceFieldSchema,F6-org.apache.cassandra.stress.settings.OptionSimple,F6-org.apache.thrift.protocol.TField,F6-java.io.BufferedReader,F6-org.apache.cassandra.db.marshal.DynamicCompositeType.FixedValueComparator,F13-private,F13-NA,F13-public,F13-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-static,F14-final-final,F14-NA,F14-final,F1-size,F1-registerQuery,F1-NA,F1-add,F1-close,F1-compare,F1-pushFollow,F1-write,F1-assertEquals,F1-get,F1-getSSTables,F1-equals,F1-compareTo,F1-predict,F1-value,F1-getLogger,F1-match,F1-count,F1-max,F1-exit,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.io.OutputStreamWriter,F5-org.apache.cassandra.stress.settings.SettingsCommand$Options,F5-AbstractType,F5-OpDistributionFactory,F5-java.io.FilterOutputStream,F5-java.io.FilterInputStream,F5-java.io.InputStreamReader,F5-java.util.EventObject,F5-java.lang.Number,F5-java.lang.RuntimeException,F5-java.io.Reader,F5-java.lang.AbstractStringBuilder,F5-java.io.BufferedReader,F5-java.io.OutputStream,F5-java.text.DateFormat,F9-id,F9-dataDir,F9-displayPrefix,F9-max,F9-tries,F9-options,F9-firstInsertedKey,F9-wrapped,F9-key_cache_size,F9-delta,F9-planId,F9-keyspaceName,F9-min,F9-identityDistributions,F9-dclocal_read_repair_chance,F9-NA,F9-truncate,F9-generate,F9-delegate,F9-batchsize,F10-NA,F19-NA,F19-abstract,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-CommonTree,F4-String[],F4-boolean,F4-InputStream,F4-ByteBuffer,F4-long,F4-SSLContext,F4-byte[],F4-File,F4-void,F4-Buffer,F4-StringBuilder,F4-int,F4-String,F4-Field,F4-BigInteger,F4-long[],F4-OutputStream,F4-byte,F8-DistributionBoundApache,F8-ColumnFamilyMetricNameFactory,F8-SettingsErrors,F8-NoSpamLogStatement,F8-StressSettings,F8-DistributionOffsetApache,F8-GeneratorConfig,F8-OptionSimple,F8-DistributionInverted,F8-SettingsTransport,F8-SamplerResult<S>,F8-DistributionQuantized,F8-NA,F8-SettingsPopulation,F8-StreamState,F8-SettingsInsert,F8-WriterThread,F8-SeedManager,F8-CfDef,F8-DataOutputStreamPlus,F11-SUPER_COLUMN_FIELD_DESC,F11-IRE_FIELD_DESC,F11-COMPRESSION_FIELD_DESC,F11-NA,F11-NAME_FIELD_DESC,F11-SUCCESS_FIELD_DESC,F11-KEY_FIELD_DESC,F11-schemes,F11-KEYSPACE_FIELD_DESC,F11-logger,F11-START_TOKEN_FIELD_DESC,F11-WHY_FIELD_DESC,F11-COLUMN_PARENT_FIELD_DESC,F11-STRUCT_DESC,F11-COLUMN_FAMILY_FIELD_DESC,F11-COLUMNS_FIELD_DESC,F11-instance,F11-QUERY_FIELD_DESC,F11-UE_FIELD_DESC,F11-ITEM_ID_FIELD_DESC,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-xedin@apache.org,F71-jmckenzie@apache.org,F71-povel.y@gmail.com,F71-sylvain@datastax.com,F71-yukim@apache.org,F71-brandonwilliams@apache.org,F71-dbrosius@mebigfatguy.com,F71-johan@apache.org,F71-benedict@apache.org,F71-jakers@gmail.com,F71-marcuse@apache.org,F71-jbellis@apache.org,F71-gdusbabek@apache.org,F71-vijay2win@gmail.com,F71-dbrosius@apache.org,F71-aleksey@apache.org,F71-jake@apache.org,F71-eevans@apache.org,F71-tyler@datastax.com,F71-slebresne@apache.org,F74,F73,F84,F146,category
10814,org/apache/cassandra,org/apache/cassandra/AbstractSerializationsTester.java,1620,true,0,4,511,2,4,92,1,44,0.5135135135135135,47,19,0.40425531914893614,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,MALICIOUS_CODE,0.0052750565184626974,MS_MUTABLE_COLLECTION_PKGPROTECT,18,2,0,8.727347399763849E-4,1.026746752913394E-4,0.0,0.0,0.21428571428571427,0.015306122448979591,0.14583333333333334,0.14152420532439902,-0.5714285714285714,3.7678975131876413E-4,0.0048982667671439335,0.14152420532439902,-1.0,-1.0,17,8468,1606,10711,887,0.0171990171990172,26,193,694,1106,0.07631802987155918,52,14,9,75,2,38,12,0.07090053056786468,14,2063,0,548,157,10,2768,1515,0.13386241897471587,7,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,2242,13775,7,2242,open
10814,org/apache/cassandra,org/apache/cassandra/AbstractSerializationsTester.java,1620,true,5,4,511,2,8,92,1,44,0.9594594594594594,47,19,0.40425531914893614,0.6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,BAD_PRACTICE,0.013564431047475508,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,8.727347399763849E-4,1.026746752913394E-4,5.13373376456697E-5,-1.0,0.3055555555555556,0.0075782627865961195,0.20898100172711573,0.23149093143732255,-0.3611111111111111,0.0026375282592313487,0.04333082140165787,0.23149093143732255,-1.0,-1.0,19,8571,1620,10814,887,0.0171990171990172,26,193,694,1106,0.07631802987155918,52,14,9,75,2,38,12,0.07090053056786468,14,2063,0,548,157,10,2768,1515,0.13386241897471587,7,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,2242,13775,7,2242,open
10896,org/apache/cassandra,org/apache/cassandra/EmbeddedServer.java,1629,true,0,3,511,4,4,92,1,44,0.37349397590361444,55,18,0.32727272727272727,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,MALICIOUS_CODE,0.0037678975131876413,MS_PKGPROTECT,18,2,0,8.727347399763849E-4,1.026746752913394E-4,0.0,0.0,0.1,0.008181818181818182,0.14583333333333334,0.14152420532439902,-0.8,3.7678975131876413E-4,0.0048982667671439335,0.14152420532439902,-1.0,-1.0,8,9809,1842,12052,887,7.2352144891005E-4,26,193,694,1106,0.07631802987155918,67,64,0,131,62,3,0,0.017035348065970738,62,2063,0,548,157,-62,2768,1515,0.13386241897471587,44,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2282,13775,7,2242,open
10896,org/apache/cassandra,org/apache/cassandra/EmbeddedServer.java,1629,true,0,3,511,4,0,92,1,44,0.6867469879518072,55,18,0.32727272727272727,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,STYLE,0.07008289374529013,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,20,3,1,8.727347399763849E-4,1.026746752913394E-4,5.13373376456697E-5,-1.0,0.03763440860215054,0.0012488986169419628,0.06143344709897611,0.089737984519044,-0.9247311827956989,0.003014318010550113,0.024491333835719668,0.089737984519044,-1.0,-1.0,2,5359,1092,7602,887,7.2352144891005E-4,26,193,694,1106,0.07631802987155918,67,64,0,131,62,3,0,0.017035348065970738,62,2063,0,548,157,-62,2768,1515,0.13386241897471587,44,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2282,13775,7,2242,open
6533,org/apache/cassandra,org/apache/cassandra/MethodComparator.java,848,true,22,8,511,3,8,92,3,44,0.6347305389221557,129,21,0.16279069767441862,0.13636363636363635,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,I18N,0.03880934438583271,DM_DEFAULT_ENCODING,19,1,1,8.727347399763849E-4,1.5401201293700908E-4,5.13373376456697E-5,-1.0,0.1553398058252427,0.0656046752757093,0.13440860215053763,1.589727162699383E-4,-0.6601941747572816,0.0018839487565938207,0.007912584777694047,1.589727162699383E-4,-1.0,-1.0,5,4290,848,6533,887,0.0,26,193,694,1106,0.07631802987155918,140,3,0,143,0,137,0,0.4198987453224741,0,2063,0,548,157,0,2768,1515,0.13386241897471587,2761,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,13775,7,2242,open
6533,org/apache/cassandra,org/apache/cassandra/MethodComparator.java,848,true,0,8,511,3,8,92,1,44,0.2155688622754491,129,21,0.16279069767441862,1.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,BAD_PRACTICE,0.017709118311981915,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,19,2,0,8.727347399763849E-4,1.5401201293700908E-4,0.0,0.0,0.0851063829787234,0.002780831662678652,0.20898100172711573,0.23149093143732255,-0.7872340425531915,0.0026375282592313487,0.04333082140165787,0.23149093143732255,-1.0,-1.0,5,4290,848,6533,887,0.0,26,193,694,1106,0.07631802987155918,140,3,0,143,0,137,0,0.4198987453224741,0,2063,0,548,157,0,2768,1515,0.13386241897471587,2761,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,13775,7,2242,open
6533,org/apache/cassandra,org/apache/cassandra/MethodComparator.java,848,true,0,8,511,3,0,92,1,44,0.8922155688622755,129,21,0.16279069767441862,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,BAD_PRACTICE,0.00452147701582517,EQ_COMPARETO_USE_OBJECT_EQUALS,16,2,1,8.727347399763849E-4,1.5401201293700908E-4,5.13373376456697E-5,-1.0,0.25,0.006696428571428571,0.20898100172711573,0.23149093143732255,-0.5,0.0026375282592313487,0.04333082140165787,0.23149093143732255,-1.0,-1.0,5,4290,848,6533,887,0.0,26,193,694,1106,0.07631802987155918,140,3,0,143,0,137,0,0.4198987453224741,0,2063,0,548,157,0,2768,1515,0.13386241897471587,2761,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,13775,7,2242,open
4011,org/apache/cassandra,org/apache/cassandra/OffsetAwareConfigurationLoader.java,372,true,2,2,511,1,0,92,1,44,0.6349206349206349,31,17,0.5483870967741935,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,PERFORMANCE,0.003391107761868877,DM_BOXED_PRIMITIVE_FOR_PARSING,16,1,1,8.727347399763849E-4,5.13373376456697E-5,5.13373376456697E-5,-1.0,0.1111111111111111,0.006584362139917695,0.2564102564102564,0.10286561401825511,-0.5555555555555556,0.006782215523737754,0.04672192916352675,0.10286561401825511,-1.0,-1.0,0,1768,372,4011,887,0.0,26,193,694,1106,0.07631802987155918,39,0,0,39,0,39,0,0.18932038834951456,0,2063,0,548,157,0,2768,1515,0.13386241897471587,1771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4011,13775,7,2242,open
4653,org/apache/cassandra,org/apache/cassandra/SchemaLoader.java,484,true,6,24,511,18,8,92,1,44,0.15384615384615385,387,43,0.1111111111111111,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,PERFORMANCE,7.535795026375283E-4,DM_GC,16,1,1,8.727347399763849E-4,1.026746752913394E-4,5.13373376456697E-5,-1.0,0.0,0.0,0.2564102564102564,0.10286561401825511,-1.0,0.006782215523737754,0.04672192916352675,0.10286561401825511,-1.0,-1.0,11,801,155,3044,887,0.10874671840821253,26,193,694,1106,0.07631802987155918,613,268,118,999,34,345,49,0.04341228635902716,83,2063,0,548,157,15,2768,1515,0.13386241897471587,30,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2271,13775,7,2242,open
4653,org/apache/cassandra,org/apache/cassandra/SchemaLoader.java,484,true,5,24,511,18,8,92,2,44,0.9959514170040485,387,43,0.1111111111111111,0.8,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,STYLE,0.007159005275056519,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,13,2,1,8.727347399763849E-4,1.026746752913394E-4,5.13373376456697E-5,-1.0,0.15789473684210525,0.004584965135160951,0.06143344709897611,0.089737984519044,-0.5789473684210527,0.003014318010550113,0.024491333835719668,0.089737984519044,-1.0,-1.0,60,5860,1203,8103,887,0.10874671840821253,26,193,694,1106,0.07631802987155918,613,268,118,999,34,345,49,0.04341228635902716,83,2063,0,548,157,15,2768,1515,0.13386241897471587,30,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,2271,13775,7,2242,open
