F61,F77,F88,F70,
17,1145,1205,2238,
17,1145,1205,2238,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
53,1469,1482,2562,
10,1440,1475,2533,
13,1469,1482,2562,
13,1469,1482,2562,
13,1469,1482,2562,
13,1469,1482,2562,
13,1469,1482,2562,
13,1469,1482,2562,
13,1469,1482,2562,
13,1469,1482,2562,
7,1391,1445,2484,
3,633,881,1726,
7,1391,1445,2484,
7,1391,1445,2484,
30,1469,1482,2562,
30,1469,1482,2562,
30,1469,1482,2562,
30,1469,1482,2562,
30,1469,1482,2562,
30,1469,1482,2562,
30,1469,1482,2562,
5,235,343,1328,
5,235,343,1328,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
22,1361,1427,2454,
30,1469,1482,2562,
8,373,468,1466,
8,373,468,1466,
8,373,468,1466,
8,373,468,1466,
8,373,468,1466,
8,373,468,1466,
8,373,468,1466,
8,373,468,1466,
8,373,468,1466,
30,1469,1482,2562,
30,1469,1482,2562,
30,1469,1482,2562,
30,1469,1482,2562,
30,1469,1482,2562,
