F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
6,11,21104,5,7,2139,1,135,0.4408284023668639,461,19,0.04121475054229935,0.6666666666666666,0,0,
0,11,21104,5,14,2139,1,135,0.8895463510848126,461,19,0.04121475054229935,1.0,0,1,
14,289,21104,2,12,2139,5,135,0.48739389332319777,2961,4561,1.5403579871664979,0.6428571428571429,0,1,
14,289,21104,2,12,2139,5,135,0.513619662992525,2961,4561,1.5403579871664979,0.6428571428571429,0,1,
17,289,21104,2,12,2139,6,135,0.4995565691118713,2961,4561,1.5403579871664979,0.7058823529411765,0,1,
17,289,21104,2,12,2139,6,135,0.5193209172684657,2961,4561,1.5403579871664979,0.7058823529411765,0,1,
6,289,21104,2,12,2139,2,135,0.05131128848346636,2961,4561,1.5403579871664979,0.5,0,1,
6,289,21104,2,12,2139,2,135,0.04928417585202078,2961,4561,1.5403579871664979,0.5,0,1,
6,289,21104,2,12,2139,2,135,0.05333840111491195,2961,4561,1.5403579871664979,0.5,0,1,
6,289,21104,2,12,2139,2,135,0.05536551374635753,2961,4561,1.5403579871664979,0.5,0,1,
6,289,21104,2,12,2139,2,135,0.04522995058912961,2961,4561,1.5403579871664979,0.5,0,1,
6,289,21104,2,12,2139,2,135,0.04320283795768402,2961,4561,1.5403579871664979,0.5,0,1,
6,289,21104,2,12,2139,2,135,0.04117572532623844,2961,4561,1.5403579871664979,0.5,0,1,
6,289,21104,2,12,2139,2,135,0.04725706322057519,2961,4561,1.5403579871664979,0.5,0,1,
6,289,21104,2,12,2139,2,135,0.05739262637780312,2961,4561,1.5403579871664979,0.5,0,1,
18,289,21104,2,12,2139,5,135,0.1394906879513493,2961,4561,1.5403579871664979,0.16666666666666666,0,1,
18,289,21104,2,12,2139,5,135,0.13442290637273532,2961,4561,1.5403579871664979,0.16666666666666666,0,1,
18,289,21104,2,12,2139,5,135,0.14455846952996326,2961,4561,1.5403579871664979,0.16666666666666666,0,1,
18,289,21104,2,12,2139,5,135,0.14962625110857722,2961,4561,1.5403579871664979,0.16666666666666666,0,1,
18,289,21104,2,12,2139,5,135,0.12428734321550741,2961,4561,1.5403579871664979,0.16666666666666666,0,1,
18,289,21104,2,12,2139,5,135,0.11921956163689346,2961,4561,1.5403579871664979,0.16666666666666666,0,1,
