F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
0,39,2751,4,12,422,1,45,0.9339525283797729,554,260,0.4693140794223827,1.0,0,1,
0,20,2751,1,12,422,1,45,0.5166340508806262,352,89,0.2528409090909091,1.0,0,1,
0,20,2751,1,8,422,1,45,0.5283757338551859,352,89,0.2528409090909091,1.0,0,1,
0,39,2751,4,12,422,1,45,0.9370485036119711,554,260,0.4693140794223827,1.0,0,1,
3,13,1278,1,0,965,1,48,3.45,18,16,0.8888888888888888,1.0,0,1,
3,129,386,1,0,260,1,10,2.798342541436464,158,16,0.10126582278481013,1.0,0,0,
3,129,386,1,0,260,1,10,2.8287292817679557,158,16,0.10126582278481013,1.0,0,0,
30,8,977,1,0,154,5,16,0.41194029850746267,243,38,0.15637860082304528,1.0,0,1,
0,8,977,1,0,154,1,16,0.4059701492537313,243,38,0.15637860082304528,1.0,0,1,
19,82,977,2,8,154,2,16,0.8462830743385132,1360,772,0.5676470588235294,0.15789473684210525,0,1,
3,82,977,2,0,154,1,16,0.7681646367072659,1360,772,0.5676470588235294,1.0,0,1,
4,82,977,2,0,154,1,16,0.28055438891222173,1360,772,0.5676470588235294,1.0,0,1,
16,82,977,2,0,154,6,16,0.8047039059218816,1360,772,0.5676470588235294,1.0,0,1,
25,82,977,2,0,154,7,16,0.7757244855102898,1360,772,0.5676470588235294,1.0,0,1,
16,82,977,2,0,154,3,16,0.7381352372952541,1360,772,0.5676470588235294,1.0,0,0,
22,82,977,2,8,154,1,16,0.376942461150777,1360,772,0.5676470588235294,0.3181818181818182,0,0,
26,82,977,2,8,154,7,16,0.3433431331373373,1360,772,0.5676470588235294,0.36538461538461536,0,0,
46,82,977,2,8,154,3,16,0.5293994120117598,1360,772,0.5676470588235294,0.41304347826086957,0,0,
26,82,977,2,8,154,7,16,0.3215035699286014,1360,772,0.5676470588235294,0.36538461538461536,0,0,
20,82,977,2,12,154,3,16,0.868752624947501,1360,772,0.5676470588235294,0.275,0,0,
39,82,977,2,12,154,7,16,0.878202435951281,1360,772,0.5676470588235294,0.1282051282051282,12,0,
8,82,977,2,0,154,2,16,0.7379252414951701,1360,772,0.5676470588235294,1.0,0,1,
11,82,977,2,8,154,1,16,0.376732465350693,1360,772,0.5676470588235294,0.6363636363636364,0,1,
13,82,977,2,8,154,4,16,0.34313313733725326,1360,772,0.5676470588235294,0.6923076923076923,0,1,
23,82,977,2,8,154,2,16,0.5291894162116758,1360,772,0.5676470588235294,0.8260869565217391,0,1,
13,82,977,2,8,154,4,16,0.32129357412851745,1360,772,0.5676470588235294,0.6923076923076923,0,1,
10,82,977,2,12,154,2,16,0.8685426291474171,1360,772,0.5676470588235294,0.5,0,1,
13,82,977,2,12,154,3,16,0.877782444351113,1360,772,0.5676470588235294,0.38461538461538464,12,1,
10,82,977,2,12,154,2,16,0.868962620747585,1360,772,0.5676470588235294,0.6,0,1,
