F41,F40,F43,F42,F45,F44,F140,F47,F141,F46,F142,F49,F143,F48,F126,F127,F128,F129,F50,F52,F51,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F138,F139,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,19,714,4,737,1407,0.012863279296774305,1028,0,-695,0,0.010487956159019835,0,347,0,1224,20,0,1591,-877,0.014047599564298376,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,19,714,4,737,1407,0.012863279296774305,1028,0,-695,0,0.010487956159019835,0,347,0,1224,20,0,1591,-877,0.014047599564298376,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,19,714,4,737,1407,0.012863279296774305,1028,0,-695,0,0.010487956159019835,0,347,0,1224,20,0,1591,-877,0.014047599564298376,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,106,4,0,110,1407,0.012863279296774305,1028,0,102,0,0.19026702786377708,0,106,0,4,0,0,110,102,0.19026702786377708,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,1413,328,106,1847,1407,0.012863279296774305,1028,0,1085,0,0.12077582209189389,0,2281,0,1021,133,0,3435,1260,0.14604096475568193,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,1413,328,106,1847,1407,0.012863279296774305,1028,0,1085,0,0.12077582209189389,0,2281,0,1021,133,0,3435,1260,0.14604096475568193,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,1413,328,106,1847,1407,0.012863279296774305,1028,0,1085,0,0.12077582209189389,0,2281,0,1021,133,0,3435,1260,0.14604096475568193,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,1413,328,106,1847,1407,0.012863279296774305,1028,0,1085,0,0.12077582209189389,0,2281,0,1021,133,0,3435,1260,0.14604096475568193,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,385,531,3,919,1407,0.012863279296774305,1028,0,-146,0,0.13903244455228,0,2281,0,1021,133,0,3435,1260,0.14604096475568193,148423,80439,
0,0.0,0,0,0,0,8396,1197,237258,0.0,67984,41,0.07771971512251072,169,385,531,3,919,1407,0.012863279296774305,1028,0,-146,0,0.13903244455228,0,2281,0,1021,133,0,3435,1260,0.14604096475568193,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,41,5,1,47,1407,0.012863279296774305,1028,0,36,0,0.11967009025832553,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,119,50,4,173,1407,0.012863279296774305,1028,0,69,0,0.11682950057054983,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,50,13,2,65,1407,0.012863279296774305,1028,0,37,0,0.10683904884161623,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,135,82,2,219,1407,0.012863279296774305,1028,0,53,0,0.17452795604433957,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,590,268,1,859,1407,0.012863279296774305,1028,0,322,0,0.15420869760851622,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,590,268,1,859,1407,0.012863279296774305,1028,0,322,0,0.15420869760851622,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,590,268,1,859,1407,0.012863279296774305,1028,0,322,0,0.15420869760851622,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,590,268,1,859,1407,0.012863279296774305,1028,0,322,0,0.15420869760851622,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,590,268,1,859,1407,0.012863279296774305,1028,0,322,0,0.15420869760851622,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,6,5,4,15,1407,0.012863279296774305,1028,0,1,0,0.1570921985815603,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,12,133,2,147,1407,0.012863279296774305,1028,0,-121,0,0.04771644924873615,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,462,105,22,589,1407,0.012863279296774305,1028,0,357,0,0.1371861027963386,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,92,12,0,104,1407,0.012863279296774305,1028,0,80,0,0.26504591802605043,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,277,259,4,540,1407,0.012863279296774305,1028,0,18,0,0.1204484502013026,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.3055555555555556,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,130,100,2,232,1407,0.012863279296774305,1028,14,30,7,0.11782855419132225,22,2836,1,1483,69,-7,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,136,126,4,266,1407,0.012863279296774305,1028,0,10,0,0.107933690809114,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,261,237,13,511,1407,0.012863279296774305,1028,0,24,0,0.09568639926183017,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
7,0.0,1,14,-7,22,8396,1197,237258,0.014550264550264551,67984,41,0.07771971512251072,169,261,237,13,511,1407,0.012863279296774305,1028,0,24,0,0.09568639926183017,0,2836,0,1483,69,0,4388,1353,0.12815169967839576,148423,80439,
2,0.06451612903225806,0,0,2,2,8396,1197,237258,0.004962779156327543,67984,41,0.07771971512251072,169,664,91,3,758,1407,0.012863279296774305,1028,0,573,2,0.112028920635452,2,2110,0,820,205,2,3135,1290,0.060221675455461074,148423,80439,
2,0.0,0,0,2,2,8396,1197,237258,0.004962779156327543,67984,41,0.07771971512251072,169,25,23,3,51,1407,0.012863279296774305,1028,0,2,0,0.0702863554970494,0,2110,0,820,205,0,3135,1290,0.060221675455461074,148423,80439,
2,0.0,0,0,2,2,8396,1197,237258,0.004962779156327543,67984,41,0.07771971512251072,169,25,23,3,51,1407,0.012863279296774305,1028,0,2,0,0.0702863554970494,0,2110,0,820,205,0,3135,1290,0.060221675455461074,148423,80439,
2,0.0,0,0,2,2,8396,1197,237258,0.004962779156327543,67984,41,0.07771971512251072,169,62,121,2,185,1407,0.012863279296774305,1028,0,-59,0,0.015774355806748554,0,2110,0,820,205,0,3135,1290,0.060221675455461074,148423,80439,
2,0.0,0,0,2,2,8396,1197,237258,0.004962779156327543,67984,41,0.07771971512251072,169,62,121,2,185,1407,0.012863279296774305,1028,0,-59,0,0.015774355806748554,0,2110,0,820,205,0,3135,1290,0.060221675455461074,148423,80439,
2,0.0,0,0,2,2,8396,1197,237258,0.004962779156327543,67984,41,0.07771971512251072,169,50,46,146,242,1407,0.012863279296774305,1028,0,4,0,0.1275467736382682,0,2110,0,820,205,0,3135,1290,0.060221675455461074,148423,80439,
2,0.0,0,0,2,2,8396,1197,237258,0.004962779156327543,67984,41,0.07771971512251072,169,50,46,146,242,1407,0.012863279296774305,1028,0,4,0,0.1275467736382682,0,2110,0,820,205,0,3135,1290,0.060221675455461074,148423,80439,
2,0.0,0,0,2,2,8396,1197,237258,0.004962779156327543,67984,41,0.07771971512251072,169,382,143,19,544,1407,0.012863279296774305,1028,0,239,0,0.06438862258312802,0,2110,0,820,205,0,3135,1290,0.060221675455461074,148423,80439,
2,0.0,0,0,2,2,8396,1197,237258,0.004962779156327543,67984,41,0.07771971512251072,169,382,143,19,544,1407,0.012863279296774305,1028,0,239,0,0.06438862258312802,0,2110,0,820,205,0,3135,1290,0.060221675455461074,148423,80439,
2,0.0,0,0,2,2,8396,1197,237258,0.004962779156327543,67984,41,0.07771971512251072,169,161,18,0,179,1407,0.012863279296774305,1028,0,143,0,0.044203251154360634,0,2110,0,820,205,0,3135,1290,0.060221675455461074,148423,80439,
2,0.0,0,0,2,2,8396,1197,237258,0.004962779156327543,67984,41,0.07771971512251072,169,161,18,0,179,1407,0.012863279296774305,1028,0,143,0,0.044203251154360634,0,2110,0,820,205,0,3135,1290,0.060221675455461074,148423,80439,
