F72,F54,F53,F55,F25,F26,
11856,org/apache/commons/cli/avalon,apache,org/apache/commons/cli/avalon/CLArgsParser.java,3027,true,
11856,org/apache/commons/cli/avalon,apache,org/apache/commons/cli/avalon/CLArgsParser.java,3027,true,
11856,org/apache/commons/cli/avalon,apache,org/apache/commons/cli/avalon/CLArgsParser.java,3027,true,
8614,org/apache/commons/jexl/bsf,apache,org/apache/commons/jexl/bsf/JexlEngine.java,1875,true,
13761,org/apache/jmeter,apache,org/apache/jmeter/JMeter.java,3976,true,
13761,org/apache/jmeter,apache,org/apache/jmeter/JMeter.java,3976,true,
13761,org/apache/jmeter,apache,org/apache/jmeter/JMeter.java,3976,true,
13761,org/apache/jmeter,apache,org/apache/jmeter/JMeter.java,3976,true,
7835,org/apache/jmeter,apache,org/apache/jmeter/JMeterReport.java,1415,true,
7835,org/apache/jmeter,apache,org/apache/jmeter/JMeterReport.java,1415,true,
8608,org/apache/jmeter/assertions,apache,org/apache/jmeter/assertions/BSFAssertion.java,1874,true,
12838,org/apache/jmeter/assertions,apache,org/apache/jmeter/assertions/BeanShellAssertion.java,3496,true,
11455,org/apache/jmeter/assertions,apache,org/apache/jmeter/assertions/CompareAssertion.java,2878,true,
10273,org/apache/jmeter/assertions,apache,org/apache/jmeter/assertions/DurationAssertion.java,2574,true,
10273,org/apache/jmeter/assertions,apache,org/apache/jmeter/assertions/HTMLAssertion.java,2574,true,
10273,org/apache/jmeter/assertions,apache,org/apache/jmeter/assertions/HTMLAssertion.java,2574,true,
10273,org/apache/jmeter/assertions,apache,org/apache/jmeter/assertions/HTMLAssertion.java,2574,true,
10273,org/apache/jmeter/assertions,apache,org/apache/jmeter/assertions/HTMLAssertion.java,2574,true,
10273,org/apache/jmeter/assertions,apache,org/apache/jmeter/assertions/HTMLAssertion.java,2574,true,
7725,org/apache/jmeter/assertions,apache,org/apache/jmeter/assertions/JSR223Assertion.java,1335,true,
10273,org/apache/jmeter/assertions,apache,org/apache/jmeter/assertions/MD5HexAssertion.java,2574,true,
10273,org/apache/jmeter/assertions,apache,org/apache/jmeter/assertions/ResponseAssertion.java,2574,true,
7336,org/apache/jmeter/assertions,apache,org/apache/jmeter/assertions/SMIMEAssertionTestElement.java,1101,true,
