F61,F77,F88,F70,
9,9010,3757,11856,
9,9010,3757,11856,
9,9010,3757,11856,
8,5768,2605,8614,
47,4118,1608,6964,
138,8778,3667,11624,
177,10915,4706,13761,
177,10915,4706,13761,
8,606,264,3452,
177,10915,4706,13761,
4,5762,2604,8608,
25,9010,3757,11856,
10,4950,2122,7796,
15,10915,4706,13761,
17,9330,4100,12176,
17,9330,4100,12176,
17,9330,4100,12176,
5,5624,2551,8470,
17,9330,4100,12176,
8,4879,2065,7725,
15,9648,4163,12494,
58,10915,4706,13761,
5,4490,1831,7336,
33,10723,4529,13569,
23,10480,4408,13326,
17,8975,3734,11821,
27,9010,3757,11856,
27,9010,3757,11856,
40,10701,4507,13547,
21,9330,4100,12176,
21,9330,4100,12176,
4,5624,2551,8470,
4,5624,2551,8470,
5,4490,1831,7336,
5,4490,1831,7336,
25,10416,4374,13262,
25,10416,4374,13262,
4,5624,2551,8470,
12,8975,3734,11821,
5,5624,2551,8470,
29,10915,4706,13761,
26,10915,4706,13761,
32,7428,3304,10274,
15,10915,4706,13761,
11,10433,4388,13279,
16,10915,4706,13761,
16,10915,4706,13761,
28,9629,4159,12475,
63,10915,4706,13761,
29,9319,4058,12165,
41,10915,4706,13761,
53,10915,4706,13761,
23,10915,4706,13761,
19,10915,4706,13761,
14,9623,4159,12469,
24,9252,4035,12098,
18,9010,3757,11856,
3,11198,6144,14044,
43,10559,4443,13405,
50,9752,4183,12598,
22,9119,3920,11965,
5,5622,2550,8468,
6,5622,2550,8468,
18,8581,3597,11427,
3,5622,2550,8468,
3,5622,2550,8468,
27,8742,3652,11588,
35,10387,4342,13233,
1,298,135,3144,
3,5622,2550,8468,
3,5622,2550,8468,
10,9010,3757,11856,
3,5622,2550,8468,
11,5621,2550,8467,
8,5622,2550,8468,
8,5622,2550,8468,
6,5621,2550,8467,
6,5621,2550,8467,
0,1731,817,4577,
21,5621,2550,8467,
4,344,152,3190,
4,344,152,3190,
12,10915,4706,13761,
134,10513,4430,13359,
112,9323,4065,12169,
69,5621,2550,8467,
112,9323,4065,12169,
119,10135,4253,12981,
23,2627,1085,5473,
14,5621,2550,8467,
4,5762,2604,8608,
21,7982,3395,10828,
6,5622,2550,8468,
6,1939,929,4785,
9,4888,2076,7734,
60,10723,4529,13569,
42,8400,3540,11246,
12,5622,2550,8468,
3,3323,1298,6169,
7,5619,2550,8465,
8,5619,2550,8465,
4,3524,1322,6370,
10,5609,2537,8455,
3,1444,700,4290,
8,5619,2550,8465,
8,5619,2550,8465,
4,5619,2550,8465,
10,5022,2149,7868,
1,953,568,3799,
9,5016,2146,7862,
31,10382,4336,13228,
5,3744,1357,6590,
22,7500,3322,10346,
28,9743,4183,12589,
25,9739,4182,12585,
11,5619,2550,8465,
24,10382,4336,13228,
20,10320,4284,13166,
10,5619,2550,8465,
10,5619,2550,8465,
5,3696,1345,6542,
7,4370,1742,7216,
18,8929,3711,11775,
10,5619,2550,8465,
18,3654,1338,6500,
24,5619,2550,8465,
50,10382,4336,13228,
9,5612,2540,8458,
10,5609,2537,8455,
1,1675,773,4521,
1,1675,773,4521,
8,5619,2550,8465,
3,3558,1327,6404,
7,2688,1121,5534,
6,668,296,3514,
25,5874,2638,8720,
75,10915,4706,13761,
75,10915,4706,13761,
1,5619,2550,8465,
9,10520,4432,13366,
57,7428,3304,10274,
91,10915,4706,13761,
91,10915,4706,13761,
18,10915,4706,13761,
46,10502,4424,13348,
23,10543,4439,13389,
21,10571,4445,13417,
21,10322,4286,13168,
8,5874,2638,8720,
3,3072,1252,5918,
2,1755,835,4601,
2,1755,835,4601,
6,3609,1334,6455,
1,1755,835,4601,
1,1755,835,4601,
1,97,51,2943,
7,2003,945,4849,
1,1488,710,4334,
4,1694,791,4540,
35,10427,4386,13273,
35,10427,4386,13273,
35,10427,4386,13273,
3,1302,678,4148,
5,1706,805,4552,
5,1706,805,4552,
10,5619,2550,8465,
1,460,215,3306,
7,3702,1346,6548,
18,3734,1355,6580,
77,10915,4706,13761,
2,5619,2550,8465,
