F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
3,27,199,1,8,53,1,7,0.15712187958883994,403,167,0.4143920595533499,0.6666666666666666,0,1,
14,27,199,1,8,53,1,7,0.3333333333333333,403,167,0.4143920595533499,0.35714285714285715,0,1,
14,27,199,1,8,53,1,7,0.328928046989721,403,167,0.4143920595533499,0.14285714285714285,0,1,
13,8,67,1,0,8,2,1,0.9666666666666667,103,31,0.30097087378640774,1.0,8,1,
118,22,35,5,0,36,21,12,0.3515151515151515,926,135,0.14578833693304535,1.0,0,1,
29,22,35,5,12,36,5,12,0.9056277056277057,926,135,0.14578833693304535,0.41379310344827586,0,1,
68,22,35,5,0,36,10,12,0.7064935064935065,926,135,0.14578833693304535,1.0,0,1,
0,22,35,5,18,36,1,12,0.26926406926406926,926,135,0.14578833693304535,1.0,0,1,
0,22,35,5,0,36,1,12,0.8718614718614719,926,135,0.14578833693304535,1.0,0,1,
0,22,35,5,22,36,1,12,0.8571428571428571,926,135,0.14578833693304535,1.0,0,1,
0,1,1176,1,8,194,1,24,0.5087719298245614,35,17,0.4857142857142857,1.0,0,1,
3,6,1176,1,8,194,1,24,0.8909774436090225,77,35,0.45454545454545453,0.6666666666666666,0,0,
0,14,1176,1,9,194,1,24,0.19811320754716982,149,38,0.2550335570469799,1.0,0,1,
0,2,1176,1,7,194,1,24,0.4520547945205479,31,34,1.096774193548387,1.0,0,1,
83,19,1176,1,16,194,12,24,0.38441558441558443,200,135,0.675,0.6867469879518072,0,1,
20,19,1176,1,16,194,3,24,0.5194805194805194,200,135,0.675,0.3,0,1,
3,19,1176,1,6,194,1,24,0.5688311688311688,200,135,0.675,0.8333333333333334,0,0,
166,19,1176,1,0,194,23,24,0.38961038961038963,200,135,0.675,1.0,0,0,
0,19,1176,1,7,194,1,24,0.12727272727272726,200,135,0.675,1.0,0,1,
0,1,1176,1,7,194,1,24,0.5892857142857143,32,17,0.53125,1.0,0,1,
0,4,1176,1,5,194,1,24,0.36607142857142855,60,31,0.5166666666666667,1.0,0,1,
0,40,1176,1,6,194,1,24,0.08941605839416059,379,83,0.21899736147757257,1.0,0,1,
0,25,1176,1,4,194,1,24,0.3051948051948052,104,19,0.18269230769230768,1.0,0,1,
0,19,1176,1,5,194,1,24,0.13307984790874525,149,72,0.48322147651006714,1.0,0,1,
0,3,1176,2,6,194,1,24,0.4111111111111111,50,29,0.58,1.0,0,1,
0,5,1176,2,6,194,1,24,0.205607476635514,117,57,0.48717948717948717,1.0,0,1,
3,21,1176,1,6,194,1,24,0.7554744525547445,149,87,0.5838926174496645,0.8333333333333334,0,0,
0,21,1176,1,6,194,1,24,0.16423357664233576,149,87,0.5838926174496645,1.0,0,1,
49,11,1004,4,8,116,14,21,0.503448275862069,261,104,0.39846743295019155,0.061224489795918366,35,1,
26,14,1004,1,8,116,6,21,0.4691689008042895,243,75,0.30864197530864196,0.11538461538461539,0,1,
288,14,1004,1,9,116,33,21,0.3699731903485255,243,75,0.30864197530864196,0.08940972222222222,24,0,
5,7,1004,1,8,116,1,21,0.6302521008403361,61,33,0.5409836065573771,0.6,0,1,
8,7,1004,1,8,116,2,21,0.8991596638655462,61,33,0.5409836065573771,0.875,4,1,
21,10,1004,4,8,116,6,21,0.8,184,21,0.11413043478260869,0.14285714285714285,0,1,
15,10,1004,4,8,116,3,21,0.904,184,21,0.11413043478260869,0.2,22,1,
22,13,1004,1,8,116,6,21,0.4491803278688525,188,72,0.3829787234042553,0.13636363636363635,0,1,
22,13,1004,1,8,116,6,21,0.30491803278688523,188,72,0.3829787234042553,0.13636363636363635,16,1,
5,7,1004,1,8,116,1,21,0.7448275862068966,64,55,0.859375,0.6,0,1,
5,7,1004,1,8,116,2,21,0.593103448275862,64,55,0.859375,0.8,8,1,
8,8,1004,1,8,116,1,21,0.5263157894736842,77,32,0.4155844155844156,0.375,6,1,
0,14,527,1,5,98,1,12,0.2523809523809524,75,111,1.48,1.0,0,1,
0,17,527,1,6,98,1,12,0.16988416988416988,113,122,1.079646017699115,1.0,0,1,
284,19,527,1,13,98,49,12,0.6013289036544851,188,76,0.40425531914893614,0.12441314553990611,31,1,
0,4,527,1,4,98,1,12,0.5689655172413793,25,23,0.92,1.0,0,1,
3,6,527,1,8,98,1,12,3.259493670886076,25,44,1.76,0.6666666666666666,0,0,
3,6,527,1,6,98,1,12,3.0949367088607596,25,44,1.76,0.8333333333333334,0,0,
0,6,527,1,4,98,1,12,0.43037974683544306,25,44,1.76,1.0,0,1,
0,27,876,1,5,244,1,27,0.13732394366197184,166,74,0.4457831325301205,1.0,0,1,
0,32,876,1,5,244,1,27,0.1282051282051282,205,177,0.8634146341463415,1.0,0,1,
0,17,876,6,6,244,1,27,0.20860927152317882,160,101,0.63125,1.0,0,1,
0,13,876,1,5,244,1,27,0.23163841807909605,99,54,0.5454545454545454,1.0,0,1,
0,18,876,1,6,244,1,27,0.27411167512690354,108,61,0.5648148148148148,1.0,0,1,
0,3,876,1,5,244,1,27,0.6271186440677966,24,27,1.125,1.0,0,1,
0,3,876,1,5,244,1,27,0.5555555555555556,21,26,1.2380952380952381,1.0,0,1,
0,4,876,1,4,244,1,27,0.55,21,32,1.5238095238095237,1.0,0,1,
0,14,876,1,5,244,1,27,0.26277372262773724,83,32,0.3855421686746988,1.0,0,1,
0,7,876,1,7,244,1,27,0.4365079365079365,62,52,0.8387096774193549,1.0,0,1,
0,0,876,1,0,244,1,27,0.8518518518518519,5,17,3.4,1.0,0,1,
0,24,876,2,6,244,1,27,0.17314487632508835,191,49,0.25654450261780104,1.0,0,1,
0,16,876,1,7,244,1,27,0.1572700296735905,197,102,0.5177664974619289,1.0,0,1,
0,7,876,1,5,244,1,27,0.26515151515151514,67,51,0.7611940298507462,1.0,0,1,
40,9,1135,1,8,160,1,25,0.48221343873517786,121,96,0.7933884297520661,0.125,11,0,
5,8,1135,1,8,160,1,25,0.5130434782608696,67,33,0.4925373134328358,0.6,0,1,
