F61,F77,F88,F70,
91,14363,1840,18254,
93,14606,1901,18497,
40,17035,2324,20926,
40,17035,2324,20926,
3,7001,914,10892,
3,7001,914,10892,
3,7001,914,10892,
40,17035,2324,20926,
30,11115,1322,15006,
30,11115,1322,15006,
30,11115,1322,15006,
30,11115,1322,15006,
30,11115,1322,15006,
30,11115,1322,15006,
40,17035,2324,20926,
25,12523,1514,16414,
40,17035,2324,20926,
40,17035,2324,20926,
40,17035,2324,20926,
40,17035,2324,20926,
5,8329,1024,12220,
16,13367,1632,17258,
16,13367,1632,17258,
40,17035,2324,20926,
2,9043,1087,12934,
2,9043,1087,12934,
40,17035,2324,20926,
40,17035,2324,20926,
40,17035,2324,20926,
40,17035,2324,20926,
39,15732,2047,19623,
15,9145,1097,13036,
40,17035,2324,20926,
40,17035,2324,20926,
40,17035,2324,20926,
9,17155,2353,21046,
9,17155,2353,21046,
40,17035,2324,20926,
40,17035,2324,20926,
21,20684,4116,24575,
34,14066,1791,17957,
34,14066,1791,17957,
34,14066,1791,17957,
30,10135,1164,14026,
36,14083,1792,17974,
34,14066,1791,17957,
36,14083,1792,17974,
34,14066,1791,17957,
36,14083,1792,17974,
10,7897,980,11788,
40,17035,2324,20926,
7,10292,1188,14183,
7,10292,1188,14183,
7,10292,1188,14183,
7,10292,1188,14183,
40,17035,2324,20926,
40,17035,2324,20926,
40,17035,2324,20926,
0,1510,199,5401,
17,16382,2147,20273,
40,17035,2324,20926,
40,17035,2324,20926,
15,21971,4949,25862,
14,16382,2147,20273,
15,21971,4949,25862,
14,16382,2147,20273,
14,16382,2147,20273,
14,16382,2147,20273,
40,17035,2324,20926,
19,16382,2147,20273,
19,16382,2147,20273,
0,1510,199,5401,
0,1510,199,5401,
19,16382,2147,20273,
19,16382,2147,20273,
20,16382,2147,20273,
16,16382,2147,20273,
16,16382,2147,20273,
17,16382,2147,20273,
20,16382,2147,20273,
20,16382,2147,20273,
20,16382,2147,20273,
0,1510,199,5401,
0,1510,199,5401,
20,16382,2147,20273,
20,16382,2147,20273,
20,16382,2147,20273,
40,17035,2324,20926,
40,17035,2324,20926,
34,17732,2510,21623,
40,17035,2324,20926,
40,17035,2324,20926,
7,17732,2510,21623,
7,17732,2510,21623,
7,17732,2510,21623,
10,17732,2510,21623,
10,17732,2510,21623,
10,17732,2510,21623,
10,17732,2510,21623,
7,17732,2510,21623,
19,17732,2510,21623,
20,17732,2510,21623,
10,13136,1612,17027,
20,17732,2510,21623,
18,15981,2077,19872,
20,17732,2510,21623,
20,17732,2510,21623,
