F61,F77,F88,F70,
0,13326,3109,17995,
23,13326,3109,17995,
14,13326,3109,17995,
14,13326,3109,17995,
6,13168,2995,17837,
11,13326,3109,17995,
1,4275,678,8944,
26,13326,3109,17995,
26,13326,3109,17995,
26,13326,3109,17995,
26,13326,3109,17995,
12,13326,3109,17995,
12,13326,3109,17995,
11,13326,3109,17995,
0,210,22,4879,
13,13326,3109,17995,
11,13326,3109,17995,
19,13326,3109,17995,
19,13326,3109,17995,
19,13326,3109,17995,
19,13326,3109,17995,
10,2969,470,7638,
24,7127,1278,11796,
39,13326,3109,17995,
9,4700,779,9369,
31,13326,3109,17995,
9,13326,3109,17995,
0,13326,3109,17995,
0,13326,3109,17995,
22,7167,1281,11836,
0,5602,972,10271,
11,4877,810,9546,
193,13326,3109,17995,
193,13326,3109,17995,
193,13326,3109,17995,
7,13326,3109,17995,
39,13326,3109,17995,
39,13326,3109,17995,
39,13326,3109,17995,
59,5988,1064,10657,
3,334,46,5003,
202,13326,3109,17995,
202,13326,3109,17995,
202,13326,3109,17995,
202,13326,3109,17995,
66,6094,1074,10763,
202,13326,3109,17995,
35,6094,1074,10763,
98,13326,3109,17995,
73,11181,2087,15850,
38,13326,3109,17995,
38,13326,3109,17995,
38,13326,3109,17995,
38,13326,3109,17995,
47,13326,3109,17995,
47,13326,3109,17995,
47,13326,3109,17995,
8,10033,1768,14702,
8,10033,1768,14702,
8,10033,1768,14702,
8,10033,1768,14702,
7,10031,1768,14700,
23,13326,3109,17995,
23,13326,3109,17995,
23,13326,3109,17995,
33,13326,3109,17995,
33,13326,3109,17995,
33,13326,3109,17995,
33,13326,3109,17995,
0,13326,3109,17995,
23,5949,1057,10618,
72,12955,2903,17624,
59,11986,2491,16655,
51,10864,1943,15533,
66,12840,2863,17509,
23,5949,1057,10618,
72,12955,2903,17624,
42,9693,1706,14362,
23,5949,1057,10618,
56,11228,2103,15897,
56,11228,2103,15897,
56,8775,1549,13444,
56,8775,1549,13444,
43,8475,1485,13144,
25,5575,970,10244,
58,12397,2682,17066,
58,12397,2682,17066,
58,12397,2682,17066,
58,12397,2682,17066,
29,10953,1988,15622,
41,13326,3109,17995,
41,13326,3109,17995,
14,1066,189,5735,
9,695,118,5364,
303,13326,3109,17995,
303,13326,3109,17995,
303,13326,3109,17995,
303,13326,3109,17995,
303,13326,3109,17995,
303,13326,3109,17995,
303,13326,3109,17995,
303,13326,3109,17995,
303,13326,3109,17995,
303,13326,3109,17995,
170,8119,1430,12788,
303,13326,3109,17995,
159,7790,1387,12459,
270,11748,2341,16417,
41,9565,1692,14234,
21,7815,1390,12484,
5,4866,810,9535,
2,4866,810,9535,
96,13326,3109,17995,
96,13326,3109,17995,
60,10011,1762,14680,
96,13326,3109,17995,
96,13326,3109,17995,
96,13326,3109,17995,
96,13326,3109,17995,
96,13326,3109,17995,
71,11228,2103,15897,
93,13259,3072,17928,
96,13326,3109,17995,
96,13326,3109,17995,
96,13326,3109,17995,
96,13326,3109,17995,
7,5604,972,10273,
4,2734,449,7403,
1,3063,484,7732,
1,3063,484,7732,
1,3063,484,7732,
1,3063,484,7732,
1,3063,484,7732,
1,3063,484,7732,
1,3063,484,7732,
1,3063,484,7732,
1,3063,484,7732,
1,3063,484,7732,
1,3063,484,7732,
