F41,F40,F43,F42,F45,F44,F140,F47,F141,F46,F142,F49,F143,F48,F126,F127,F128,F129,F50,F52,F51,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F138,F139,
0,0.0,0,0,0,0,109930,7193,434139,0.0,156813,551,0.09131187832064054,4463,0,0,0,0,12207,0.024494189081567117,2730,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,240511,83698,
123,0.0019801980198019802,2,28,95,153,109930,7193,434139,0.005629552831448794,156813,551,0.09131187832064054,4463,255,17,3,275,12207,0.024494189081567117,2730,0,238,2,0.08569036486321428,2,3263,0,1225,1484,2,5972,2038,0.07316798425409862,240511,83698,
123,0.0018709073900841909,2,28,95,153,109930,7193,434139,0.005629552831448794,156813,551,0.09131187832064054,4463,100,53,137,290,12207,0.024494189081567117,2730,0,47,2,0.01728740581823983,2,3263,0,1225,1484,2,5972,2038,0.07316798425409862,240511,83698,
123,0.0018709073900841909,2,28,95,153,109930,7193,434139,0.005629552831448794,156813,551,0.09131187832064054,4463,100,53,137,290,12207,0.024494189081567117,2730,0,47,2,0.01728740581823983,2,3263,0,1225,1484,2,5972,2038,0.07316798425409862,240511,83698,
70,0.0,0,40,30,110,109930,7193,434139,0.029338004501884122,156813,551,0.09131187832064054,4463,78,15,312,405,12207,0.024494189081567117,2730,0,63,0,0.09479868891526508,0,1327,0,514,2428,0,4269,813,0.021736404656336375,240511,83698,
70,0.0,0,40,30,110,109930,7193,434139,0.029338004501884122,156813,551,0.09131187832064054,4463,79,62,231,372,12207,0.024494189081567117,2730,0,17,0,0.022609967470655457,0,1327,0,514,2428,0,4269,813,0.021736404656336375,240511,83698,
134,0.0,0,45,89,179,109930,7193,434139,0.03670600663311693,156813,551,0.09131187832064054,4463,0,0,0,0,12207,0.024494189081567117,2730,0,0,0,0.0,0,831,0,130,23,0,984,701,0.17124869418035807,240511,83698,
2,0.0,0,2,0,4,109930,7193,434139,0.007603041216486594,156813,551,0.09131187832064054,4463,251,22,3,276,12207,0.024494189081567117,2730,0,229,0,0.11706651383159183,0,1226,0,212,740,0,2178,1014,0.08054472593063824,240511,83698,
2,0.0,0,2,0,4,109930,7193,434139,0.007603041216486594,156813,551,0.09131187832064054,4463,251,22,3,276,12207,0.024494189081567117,2730,0,229,0,0.11706651383159183,0,1226,0,212,740,0,2178,1014,0.08054472593063824,240511,83698,
2,0.0,0,2,0,4,109930,7193,434139,0.007603041216486594,156813,551,0.09131187832064054,4463,251,22,3,276,12207,0.024494189081567117,2730,0,229,0,0.11706651383159183,0,1226,0,212,740,0,2178,1014,0.08054472593063824,240511,83698,
2,0.0,0,2,0,4,109930,7193,434139,0.007603041216486594,156813,551,0.09131187832064054,4463,251,22,3,276,12207,0.024494189081567117,2730,0,229,0,0.11706651383159183,0,1226,0,212,740,0,2178,1014,0.08054472593063824,240511,83698,
2,0.07142857142857142,0,2,0,4,109930,7193,434139,0.007603041216486594,156813,551,0.09131187832064054,4463,8,7,321,336,12207,0.024494189081567117,2730,0,1,1,0.0474241268590055,1,1226,0,212,740,1,2178,1014,0.08054472593063824,240511,83698,
2,0.07142857142857142,0,2,0,4,109930,7193,434139,0.007603041216486594,156813,551,0.09131187832064054,4463,8,7,321,336,12207,0.024494189081567117,2730,0,1,1,0.0474241268590055,1,1226,0,212,740,1,2178,1014,0.08054472593063824,240511,83698,
2,0.0,0,2,0,4,109930,7193,434139,0.007603041216486594,156813,551,0.09131187832064054,4463,5,5,73,83,12207,0.024494189081567117,2730,0,0,0,0.01713981568336345,0,1226,0,212,740,0,2178,1014,0.08054472593063824,240511,83698,
17,0.0,4,17,0,38,109930,7193,434139,0.0328722638490908,156813,551,0.09131187832064054,4463,161,0,0,161,12207,0.024494189081567117,2730,0,161,0,0.3788235294117647,0,1843,0,319,764,0,2926,1524,0.07543626361478753,240511,83698,
17,0.013937282229965157,4,17,0,38,109930,7193,434139,0.0328722638490908,156813,551,0.09131187832064054,4463,178,9,182,369,12207,0.024494189081567117,2730,2,169,2,0.039914645963655196,4,1843,0,319,764,0,2926,1524,0.07543626361478753,240511,83698,
17,0.006172839506172839,4,17,0,38,109930,7193,434139,0.0328722638490908,156813,551,0.09131187832064054,4463,190,7,7,204,12207,0.024494189081567117,2730,0,183,0,0.012851134454999273,1,1843,1,319,764,0,2926,1524,0.07543626361478753,240511,83698,
17,0.006666666666666667,4,17,0,38,109930,7193,434139,0.0328722638490908,156813,551,0.09131187832064054,4463,641,34,1,676,12207,0.024494189081567117,2730,1,607,1,0.06717458985701424,2,1843,0,319,764,0,2926,1524,0.07543626361478753,240511,83698,
17,0.006666666666666667,4,17,0,38,109930,7193,434139,0.0328722638490908,156813,551,0.09131187832064054,4463,641,34,1,676,12207,0.024494189081567117,2730,1,607,1,0.06717458985701424,2,1843,0,319,764,0,2926,1524,0.07543626361478753,240511,83698,
17,0.006666666666666667,4,17,0,38,109930,7193,434139,0.0328722638490908,156813,551,0.09131187832064054,4463,641,34,1,676,12207,0.024494189081567117,2730,1,607,1,0.06717458985701424,2,1843,0,319,764,0,2926,1524,0.07543626361478753,240511,83698,
17,0.006666666666666667,4,17,0,38,109930,7193,434139,0.0328722638490908,156813,551,0.09131187832064054,4463,641,34,1,676,12207,0.024494189081567117,2730,1,607,1,0.06717458985701424,2,1843,0,319,764,0,2926,1524,0.07543626361478753,240511,83698,
296,0.010362694300518135,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,432,107,6,545,12207,0.024494189081567117,2730,1,325,1,0.15573118784013573,2,2954,0,624,1158,0,4736,2330,0.1404155404962785,240511,83698,
296,0.010362694300518135,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,432,107,6,545,12207,0.024494189081567117,2730,1,325,1,0.15573118784013573,2,2954,0,624,1158,0,4736,2330,0.1404155404962785,240511,83698,
296,0.0,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,493,45,26,564,12207,0.024494189081567117,2730,0,448,0,0.12515875813000593,0,2954,0,624,1158,0,4736,2330,0.1404155404962785,240511,83698,
296,0.2622381930334766,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,701,106,20,827,12207,0.024494189081567117,2730,87,595,120,0.13311171416041437,227,2954,20,624,1158,33,4736,2330,0.1404155404962785,240511,83698,
296,0.2622381930334766,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,701,106,20,827,12207,0.024494189081567117,2730,87,595,120,0.13311171416041437,227,2954,20,624,1158,33,4736,2330,0.1404155404962785,240511,83698,
296,0.2622381930334766,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,701,106,20,827,12207,0.024494189081567117,2730,87,595,120,0.13311171416041437,227,2954,20,624,1158,33,4736,2330,0.1404155404962785,240511,83698,
296,0.121522287869962,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,23,5,157,185,12207,0.024494189081567117,2730,3,18,22,0.04983245273843871,25,2954,0,624,1158,19,4736,2330,0.1404155404962785,240511,83698,
296,0.121522287869962,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,23,5,157,185,12207,0.024494189081567117,2730,3,18,22,0.04983245273843871,25,2954,0,624,1158,19,4736,2330,0.1404155404962785,240511,83698,
296,0.121522287869962,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,23,5,157,185,12207,0.024494189081567117,2730,3,18,22,0.04983245273843871,25,2954,0,624,1158,19,4736,2330,0.1404155404962785,240511,83698,
296,0.121522287869962,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,23,5,157,185,12207,0.024494189081567117,2730,3,18,22,0.04983245273843871,25,2954,0,624,1158,19,4736,2330,0.1404155404962785,240511,83698,
296,0.121522287869962,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,23,5,157,185,12207,0.024494189081567117,2730,3,18,22,0.04983245273843871,25,2954,0,624,1158,19,4736,2330,0.1404155404962785,240511,83698,
296,0.26842105263157895,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,102,0,0,102,12207,0.024494189081567117,2730,0,102,102,0.26842105263157895,102,2954,0,624,1158,102,4736,2330,0.1404155404962785,240511,83698,
296,0.26842105263157895,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,102,0,0,102,12207,0.024494189081567117,2730,0,102,102,0.26842105263157895,102,2954,0,624,1158,102,4736,2330,0.1404155404962785,240511,83698,
296,0.0,46,102,194,444,109930,7193,434139,0.08368408577164388,156813,551,0.09131187832064054,4463,294,34,4,332,12207,0.024494189081567117,2730,0,260,0,0.2084355021089158,0,2954,0,624,1158,0,4736,2330,0.1404155404962785,240511,83698,
106,0.1875,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,252,299,44,595,12207,0.024494189081567117,2730,2,-47,1,0.18072555800595144,3,6066,0,2235,3531,-1,11832,3831,0.1020896558533029,240511,83698,
106,0.2704771997214209,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,1295,566,211,2072,12207,0.024494189081567117,2730,205,729,33,0.23345228019366765,241,6066,3,2235,3531,-172,11832,3831,0.1020896558533029,240511,83698,
106,0.2704771997214209,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,1295,566,211,2072,12207,0.024494189081567117,2730,205,729,33,0.23345228019366765,241,6066,3,2235,3531,-172,11832,3831,0.1020896558533029,240511,83698,
106,0.2704771997214209,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,1295,566,211,2072,12207,0.024494189081567117,2730,205,729,33,0.23345228019366765,241,6066,3,2235,3531,-172,11832,3831,0.1020896558533029,240511,83698,
106,0.0,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,12,1,147,160,12207,0.024494189081567117,2730,0,11,0,0.039159870531581,0,6066,0,2235,3531,0,11832,3831,0.1020896558533029,240511,83698,
106,0.22871872575344582,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,1060,729,223,2012,12207,0.024494189081567117,2730,78,331,54,0.1783417131933627,132,6066,0,2235,3531,-24,11832,3831,0.1020896558533029,240511,83698,
106,0.22871872575344582,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,1060,729,223,2012,12207,0.024494189081567117,2730,78,331,54,0.1783417131933627,132,6066,0,2235,3531,-24,11832,3831,0.1020896558533029,240511,83698,
106,0.22871872575344582,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,1060,729,223,2012,12207,0.024494189081567117,2730,78,331,54,0.1783417131933627,132,6066,0,2235,3531,-24,11832,3831,0.1020896558533029,240511,83698,
106,0.22871872575344582,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,1060,729,223,2012,12207,0.024494189081567117,2730,78,331,54,0.1783417131933627,132,6066,0,2235,3531,-24,11832,3831,0.1020896558533029,240511,83698,
106,0.22871872575344582,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,1060,729,223,2012,12207,0.024494189081567117,2730,78,331,54,0.1783417131933627,132,6066,0,2235,3531,-24,11832,3831,0.1020896558533029,240511,83698,
106,0.22871872575344582,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,1060,729,223,2012,12207,0.024494189081567117,2730,78,331,54,0.1783417131933627,132,6066,0,2235,3531,-24,11832,3831,0.1020896558533029,240511,83698,
106,0.22871872575344582,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,1060,729,223,2012,12207,0.024494189081567117,2730,78,331,54,0.1783417131933627,132,6066,0,2235,3531,-24,11832,3831,0.1020896558533029,240511,83698,
106,0.22871872575344582,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,1060,729,223,2012,12207,0.024494189081567117,2730,78,331,54,0.1783417131933627,132,6066,0,2235,3531,-24,11832,3831,0.1020896558533029,240511,83698,
106,0.058087609469074986,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,1531,249,1211,2991,12207,0.024494189081567117,2730,5,1282,7,0.14141230458691403,12,6066,0,2235,3531,2,11832,3831,0.1020896558533029,240511,83698,
106,0.058087609469074986,3,310,-204,419,109930,7193,434139,0.08372509356466813,156813,551,0.09131187832064054,4463,1531,249,1211,2991,12207,0.024494189081567117,2730,5,1282,7,0.14141230458691403,12,6066,0,2235,3531,2,11832,3831,0.1020896558533029,240511,83698,
120,0.0,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,712,93,29,834,12207,0.024494189081567117,2730,0,619,0,0.08083324245772158,0,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.0,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,712,93,29,834,12207,0.024494189081567117,2730,0,619,0,0.08083324245772158,0,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.0,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,712,93,29,834,12207,0.024494189081567117,2730,0,619,0,0.08083324245772158,0,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.0,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,712,93,29,834,12207,0.024494189081567117,2730,0,619,0,0.08083324245772158,0,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.4166666666666667,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,215,100,22,337,12207,0.024494189081567117,2730,0,115,10,0.12604704021045637,10,13588,0,5740,5099,10,24427,7848,0.12475931289645256,240511,83698,
120,0.4166666666666667,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,215,100,22,337,12207,0.024494189081567117,2730,0,115,10,0.12604704021045637,10,13588,0,5740,5099,10,24427,7848,0.12475931289645256,240511,83698,
120,0.4166666666666667,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,215,100,22,337,12207,0.024494189081567117,2730,0,115,10,0.12604704021045637,10,13588,0,5740,5099,10,24427,7848,0.12475931289645256,240511,83698,
120,0.026915113871635612,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,349,72,11,432,12207,0.024494189081567117,2730,36,277,1,0.1296026928284497,39,13588,2,5740,5099,-35,24427,7848,0.12475931289645256,240511,83698,
120,0.026915113871635612,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,349,72,11,432,12207,0.024494189081567117,2730,36,277,1,0.1296026928284497,39,13588,2,5740,5099,-35,24427,7848,0.12475931289645256,240511,83698,
120,0.026915113871635612,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,349,72,11,432,12207,0.024494189081567117,2730,36,277,1,0.1296026928284497,39,13588,2,5740,5099,-35,24427,7848,0.12475931289645256,240511,83698,
120,0.026915113871635612,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,349,72,11,432,12207,0.024494189081567117,2730,36,277,1,0.1296026928284497,39,13588,2,5740,5099,-35,24427,7848,0.12475931289645256,240511,83698,
120,0.026915113871635612,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,349,72,11,432,12207,0.024494189081567117,2730,36,277,1,0.1296026928284497,39,13588,2,5740,5099,-35,24427,7848,0.12475931289645256,240511,83698,
120,0.026915113871635612,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,349,72,11,432,12207,0.024494189081567117,2730,36,277,1,0.1296026928284497,39,13588,2,5740,5099,-35,24427,7848,0.12475931289645256,240511,83698,
120,0.0,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,68,35,713,816,12207,0.024494189081567117,2730,0,33,0,0.0798249959343742,0,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.0,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,68,35,713,816,12207,0.024494189081567117,2730,0,33,0,0.0798249959343742,0,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.0,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,68,35,713,816,12207,0.024494189081567117,2730,0,33,0,0.0798249959343742,0,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.0,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,68,35,713,816,12207,0.024494189081567117,2730,0,33,0,0.0798249959343742,0,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.0,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,0,0,0,0,12207,0.024494189081567117,2730,0,0,0,0.0,0,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.2222222222222222,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,259,114,126,499,12207,0.024494189081567117,2730,2,145,2,0.18755188137813766,4,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.2222222222222222,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,259,114,126,499,12207,0.024494189081567117,2730,2,145,2,0.18755188137813766,4,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.2222222222222222,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,259,114,126,499,12207,0.024494189081567117,2730,2,145,2,0.18755188137813766,4,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.2222222222222222,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,259,114,126,499,12207,0.024494189081567117,2730,2,145,2,0.18755188137813766,4,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.2222222222222222,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,259,114,126,499,12207,0.024494189081567117,2730,2,145,2,0.18755188137813766,4,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.2222222222222222,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,259,114,126,499,12207,0.024494189081567117,2730,2,145,2,0.18755188137813766,4,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.2222222222222222,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,259,114,126,499,12207,0.024494189081567117,2730,2,145,2,0.18755188137813766,4,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.2222222222222222,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,259,114,126,499,12207,0.024494189081567117,2730,2,145,2,0.18755188137813766,4,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.2222222222222222,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,259,114,126,499,12207,0.024494189081567117,2730,2,145,2,0.18755188137813766,4,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.2222222222222222,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,259,114,126,499,12207,0.024494189081567117,2730,2,145,2,0.18755188137813766,4,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.2222222222222222,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,259,114,126,499,12207,0.024494189081567117,2730,2,145,2,0.18755188137813766,4,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
120,0.08922558922558922,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,470,349,80,899,12207,0.024494189081567117,2730,0,121,5,0.2144649626958225,7,13588,2,5740,5099,5,24427,7848,0.12475931289645256,240511,83698,
120,0.08922558922558922,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,470,349,80,899,12207,0.024494189081567117,2730,0,121,5,0.2144649626958225,7,13588,2,5740,5099,5,24427,7848,0.12475931289645256,240511,83698,
120,0.08922558922558922,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,470,349,80,899,12207,0.024494189081567117,2730,0,121,5,0.2144649626958225,7,13588,2,5740,5099,5,24427,7848,0.12475931289645256,240511,83698,
120,0.09382151029748284,15,483,-363,618,109930,7193,434139,0.06894003982443854,156813,551,0.09131187832064054,4463,312,367,103,782,12207,0.024494189081567117,2730,4,-55,4,0.17743708550886503,8,13588,0,5740,5099,0,24427,7848,0.12475931289645256,240511,83698,
