F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
0,0,0,1,0,0,1,14,41.15,26,0,0.0,1.0,0,0,
3,34,719,1,0,197,1,30,0.6957671957671958,148,193,1.304054054054054,1.0,0,0,
6,23,719,1,0,197,1,30,2.238970588235294,100,146,1.46,1.0,0,0,
6,23,719,1,0,197,1,30,2.3106617647058822,100,146,1.46,1.0,0,0,
3,20,524,1,0,159,1,26,0.4682713347921225,158,238,1.5063291139240507,1.0,0,0,
3,14,524,1,0,159,1,26,0.36538461538461536,80,170,2.125,1.0,0,0,
3,4,367,1,0,98,1,45,2.4358974358974357,17,17,1.0,1.0,0,0,
3,13,695,1,8,115,1,21,0.4519230769230769,164,94,0.573170731707317,0.6666666666666666,0,0,
3,13,695,1,8,115,1,21,1.2532051282051282,164,94,0.573170731707317,0.6666666666666666,0,0,
3,13,695,1,6,115,1,21,0.32211538461538464,164,94,0.573170731707317,0.8333333333333334,0,0,
105,13,695,1,0,115,21,21,0.9198717948717948,164,94,0.573170731707317,1.0,0,1,
24,19,695,1,12,115,5,21,0.7,145,182,1.2551724137931035,0.375,0,0,
3,19,695,1,6,115,1,21,1.4958333333333333,145,182,1.2551724137931035,0.8333333333333334,0,0,
32,3,695,1,0,115,6,21,0.8823529411764706,54,39,0.7222222222222222,1.0,21,1,
9,20,327,1,0,114,2,11,0.9668508287292817,89,82,0.9213483146067416,1.0,2,1,
28,5,327,1,0,114,8,11,0.9738219895287958,91,76,0.8351648351648352,1.0,11,1,
12,11,327,1,8,114,4,11,0.9601990049751243,82,96,1.170731707317073,0.5,6,1,
56,40,327,1,16,114,15,11,0.759656652360515,409,216,0.5281173594132029,0.5892857142857143,32,1,
56,40,327,1,16,114,15,11,0.748211731044349,409,216,0.5281173594132029,0.44642857142857145,32,1,
56,40,327,1,16,114,15,11,0.721030042918455,409,216,0.5281173594132029,0.10714285714285714,32,1,
56,40,327,1,16,114,15,11,0.7324749642346209,409,216,0.5281173594132029,0.25,32,1,
0,20,1336,4,0,136,1,23,0.7630402384500745,391,159,0.40664961636828645,1.0,0,1,
0,20,1336,4,0,136,1,23,0.9865871833084948,391,159,0.40664961636828645,1.0,0,1,
18,12,1336,1,8,136,5,23,0.7284671532846715,434,162,0.37327188940092165,0.7777777777777778,8,1,
10,17,1336,1,8,136,3,23,0.9803600654664485,283,255,0.901060070671378,0.6,0,1,
17,17,1336,1,0,136,6,23,0.5204582651391162,283,255,0.901060070671378,1.0,0,1,
0,17,1336,1,9,136,1,23,0.8293780687397708,283,255,0.901060070671378,1.0,0,1,
0,12,1336,1,8,136,1,23,0.735981308411215,79,106,1.3417721518987342,1.0,0,1,
0,12,1336,1,12,136,1,23,0.7710280373831776,79,106,1.3417721518987342,1.0,0,1,
0,12,1336,1,8,136,1,23,0.7920560747663551,79,106,1.3417721518987342,1.0,0,1,
0,12,1336,1,9,136,1,23,0.8691588785046729,79,106,1.3417721518987342,1.0,0,1,
0,12,1336,1,8,136,1,23,0.8387850467289719,79,106,1.3417721518987342,1.0,0,1,
3,7,1336,1,8,136,1,23,2.0204918032786887,84,26,0.30952380952380953,0.6666666666666666,0,0,
3,7,1336,1,8,136,1,23,0.6598360655737705,84,26,0.30952380952380953,0.6666666666666666,0,0,
0,9,1336,5,20,136,1,23,0.6444444444444445,271,41,0.15129151291512916,1.0,0,1,
0,65,1581,1,5,556,1,53,0.22304832713754646,451,359,0.7960088691796009,1.0,0,1,
186,17,1581,3,8,556,41,53,0.5323076923076923,871,263,0.3019517795637199,0.4032258064516129,142,1,
186,17,1581,3,8,556,41,53,0.5276923076923077,871,263,0.3019517795637199,0.3817204301075269,142,1,
186,17,1581,3,12,556,41,53,0.63,871,263,0.3019517795637199,0.8225806451612904,142,1,
3,13,1581,1,0,556,1,53,0.9262672811059908,129,33,0.2558139534883721,1.0,1,1,
134,144,1581,9,32,556,23,53,0.8223644119439366,1824,901,0.49396929824561403,0.7089552238805971,0,1,
18,144,1581,9,0,556,3,53,0.965569774527727,1824,901,0.49396929824561403,1.0,0,1,
6,144,1581,9,8,556,2,53,0.5965874466788543,1824,901,0.49396929824561403,0.8333333333333334,0,1,
25,144,1581,9,12,556,6,53,0.947592931139549,1824,901,0.49396929824561403,0.64,0,1,
3,144,1581,9,0,556,1,53,0.6349786715417428,1824,901,0.49396929824561403,1.0,0,1,
3,144,1581,9,0,556,1,53,0.40036563071297987,1824,901,0.49396929824561403,1.0,0,1,
