F72,F54,F53,F55,F25,F26,
2967,javax/security/auth/message/callback,apache,javax/security/auth/message/callback/PasswordValidationCallback.java,22,true,
17995,javax/servlet/http,apache,javax/servlet/http/HttpServletRequestWrapper.java,3382,true,
17995,javax/servlet/http,apache,javax/servlet/http/HttpServletResponseWrapper.java,3382,true,
17995,javax/servlet/http,apache,javax/servlet/http/HttpServletResponseWrapper.java,3382,true,
17995,javax/servlet/jsp/tagext,apache,javax/servlet/jsp/tagext/TagInfo.java,3382,true,
17995,javax/servlet/jsp/tagext,apache,javax/servlet/jsp/tagext/TagLibraryInfo.java,3382,true,
8944,javax/websocket,apache,javax/websocket/SendResult.java,951,true,
17995,org/apache/catalina/ant,apache,org/apache/catalina/ant/AbstractCatalinaTask.java,3382,true,
17995,org/apache/catalina/ant,apache,org/apache/catalina/ant/AbstractCatalinaTask.java,3382,true,
17995,org/apache/catalina/ant,apache,org/apache/catalina/ant/AbstractCatalinaTask.java,3382,true,
17995,org/apache/catalina/ant,apache,org/apache/catalina/ant/AbstractCatalinaTask.java,3382,true,
17995,org/apache/catalina/ant,apache,org/apache/catalina/ant/BaseRedirectorHelperTask.java,3382,true,
17995,org/apache/catalina/ant,apache,org/apache/catalina/ant/BaseRedirectorHelperTask.java,3382,true,
17995,org/apache/catalina/ant,apache,org/apache/catalina/ant/ValidatorTask.java,3382,true,
4879,org/apache/catalina/ant/jmx,apache,org/apache/catalina/ant/jmx/JMXAccessorConditionBase.java,295,true,
17995,org/apache/catalina/ant/jmx,apache,org/apache/catalina/ant/jmx/JMXAccessorQueryTask.java,3382,true,
17995,org/apache/catalina/ant/jmx,apache,org/apache/catalina/ant/jmx/JMXAccessorSetTask.java,3382,true,
17995,org/apache/catalina/ant/jmx,apache,org/apache/catalina/ant/jmx/JMXAccessorTask.java,3382,true,
17995,org/apache/catalina/ant/jmx,apache,org/apache/catalina/ant/jmx/JMXAccessorTask.java,3382,true,
17995,org/apache/catalina/ant/jmx,apache,org/apache/catalina/ant/jmx/JMXAccessorTask.java,3382,true,
17995,org/apache/catalina/ant/jmx,apache,org/apache/catalina/ant/jmx/JMXAccessorTask.java,3382,true,
17995,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/AuthenticatorBase.java,3382,true,
17995,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/DigestAuthenticator.java,3382,true,
14888,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/FormAuthenticator.java,2063,true,
17995,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/SingleSignOn.java,3382,true,
17995,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/SingleSignOn.java,3382,true,
17995,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/SingleSignOn.java,3382,true,
17995,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/SingleSignOnEntry.java,3382,true,
17995,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/SingleSignOnEntry.java,3382,true,
17995,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/SingleSignOnEntry.java,3382,true,
17995,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/SingleSignOnEntry.java,3382,true,
17995,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/SingleSignOnEntry.java,3382,true,
4029,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/SingleSignOnSessionKey.java,196,true,
4029,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/SingleSignOnSessionKey.java,196,true,
11836,org/apache/catalina/authenticator,apache,org/apache/catalina/authenticator/SpnegoAuthenticator.java,1554,true,
